id,label,department_id,system_id,manager_id,status,start_date,end_date,budget_sar
PRJ-0056,مشروع إدارة المواهب 56,DEP-005,SYS-0153,EMP-0265,مكتمل,2024-03-24,2024-09-20,5260000
PRJ-0057,مشروع المشتريات الرقمية 57,DEP-014,SYS-0170,EMP-0284,قيد التنفيذ,2024-04-01,2024-10-28,5345000
PRJ-0058,مشروع الامتثال المؤسسي 58,DEP-023,SYS-0187,EMP-0303,مخطط,2024-04-09,2024-12-05,5430000
PRJ-0059,مشروع الأرشفة الإلكترونية 59,DEP-032,SYS-0004,EMP-0322,مكتمل,2024-04-17,2025-01-12,5515000
PRJ-0060,مشروع الابتكار المفتوح 60,DEP-041,SYS-0021,EMP-0341,قيد التنفيذ,2024-04-25,2025-02-19,5600000
PRJ-0061,مشروع تطوير الخدمات الرقمية 61,DEP-050,SYS-0038,EMP-0360,مخطط,2024-05-03,2025-03-29,5685000
PRJ-0062,مشروع رفع كفاءة العمليات 62,DEP-009,SYS-0055,EMP-0379,مكتمل,2024-05-11,2025-05-06,5770000
PRJ-0063,مشروع توحيد البيانات 63,DEP-018,SYS-0072,EMP-0398,قيد التنفيذ,2024-05-19,2025-06-13,5855000
PRJ-0064,مشروع تجربة المستفيد 64,DEP-027,SYS-0089,EMP-0417,مخطط,2024-05-27,2024-11-23,5940000
PRJ-0065,مشروع الأتمتة الذكية 65,DEP-036,SYS-0106,EMP-0436,مكتمل,2024-06-04,2024-12-31,6025000
PRJ-0066,مشروع الحوكمة المؤسسية 66,DEP-045,SYS-0123,EMP-0455,قيد التنفيذ,2024-06-12,2025-02-07,6110000
PRJ-0067,مشروع تعزيز الأمن السيبراني 67,DEP-004,SYS-0140,EMP-0474,مخطط,2024-06-20,2025-03-17,6195000
PRJ-0068,مشروع إدارة المعرفة 68,DEP-013,SYS-0157,EMP-0493,مكتمل,2024-06-28,2025-04-24,6280000
PRJ-0069,مشروع تحسين جودة البيانات 69,DEP-022,SYS-0174,EMP-0512,قيد التنفيذ,2024-07-06,2025-06-01,6365000
PRJ-0070,مشروع استمرارية الأعمال 70,DEP-031,SYS-0191,EMP-0531,مخطط,2024-07-14,2025-07-09,6450000
PRJ-0071,مشروع تحليل الأداء 71,DEP-040,SYS-0008,EMP-0550,مكتمل,2024-07-22,2025-08-16,6535000
PRJ-0072,مشروع التحول السحابي 72,DEP-049,SYS-0025,EMP-0569,قيد التنفيذ,2024-07-30,2025-01-26,6620000
PRJ-0073,مشروع إدارة الأصول 73,DEP-008,SYS-0042,EMP-0588,مخطط,2024-08-07,2025-03-05,6705000
PRJ-0074,مشروع تكامل الأنظمة 74,DEP-017,SYS-0059,EMP-0607,مكتمل,2024-08-15,2025-04-12,6790000
PRJ-0075,مشروع مركز الاتصال 75,DEP-026,SYS-0076,EMP-0626,قيد التنفيذ,2024-08-23,2025-05-20,6875000
PRJ-0076,مشروع إدارة المواهب 76,DEP-035,SYS-0093,EMP-0645,مخطط,2024-08-31,2025-06-27,6960000
PRJ-0077,مشروع المشتريات الرقمية 77,DEP-044,SYS-0110,EMP-0664,مكتمل,2024-09-08,2025-08-04,7045000
PRJ-0078,مشروع الامتثال المؤسسي 78,DEP-003,SYS-0127,EMP-0683,قيد التنفيذ,2024-09-16,2025-09-11,7130000
PRJ-0079,مشروع الأرشفة الإلكترونية 79,DEP-012,SYS-0144,EMP-0702,مخطط,2024-09-24,2025-10-19,7215000
PRJ-0080,مشروع الابتكار المفتوح 80,DEP-021,SYS-0161,EMP-0721,مكتمل,2024-10-02,2025-03-31,7300000
PRJ-0081,مشروع تطوير الخدمات الرقمية 81,DEP-030,SYS-0178,EMP-0740,قيد التنفيذ,2024-10-10,2025-05-08,7385000
PRJ-0082,مشروع رفع كفاءة العمليات 82,DEP-039,SYS-0195,EMP-0759,مخطط,2024-10-18,2025-06-15,7470000
PRJ-0083,مشروع توحيد البيانات 83,DEP-048,SYS-0012,EMP-0778,مكتمل,2024-10-26,2025-07-23,7555000
PRJ-0084,مشروع تجربة المستفيد 84,DEP-007,SYS-0029,EMP-0797,قيد التنفيذ,2024-11-03,2025-08-30,7640000
PRJ-0085,مشروع الأتمتة الذكية 85,DEP-016,SYS-0046,EMP-0016,مخطط,2024-11-11,2025-10-07,7725000
PRJ-0086,مشروع الحوكمة المؤسسية 86,DEP-025,SYS-0063,EMP-0035,مكتمل,2024-11-19,2025-11-14,7810000
PRJ-0087,مشروع تعزيز الأمن السيبراني 87,DEP-034,SYS-0080,EMP-0054,قيد التنفيذ,2024-11-27,2025-12-22,7895000
PRJ-0088,مشروع إدارة المعرفة 88,DEP-043,SYS-0097,EMP-0073,مخطط,2024-12-05,2025-06-03,7980000
PRJ-0089,مشروع تحسين جودة البيانات 89,DEP-002,SYS-0114,EMP-0092,مكتمل,2024-12-13,2025-07-11,8065000
PRJ-0090,مشروع استمرارية الأعمال 90,DEP-011,SYS-0131,EMP-0111,قيد التنفيذ,2024-12-21,2025-08-18,8150000
PRJ-0091,مشروع تحليل الأداء 91,DEP-020,SYS-0148,EMP-0130,مخطط,2024-12-29,2025-09-25,8235000
PRJ-0092,مشروع التحول السحابي 92,DEP-029,SYS-0165,EMP-0149,مكتمل,2025-01-06,2025-11-02,8320000
PRJ-0093,مشروع إدارة الأصول 93,DEP-038,SYS-0182,EMP-0168,قيد التنفيذ,2025-01-14,2025-12-10,8405000
PRJ-0094,مشروع تكامل الأنظمة 94,DEP-047,SYS-0199,EMP-0187,مخطط,2025-01-22,2026-01-17,8490000
PRJ-0095,مشروع مركز الاتصال 95,DEP-006,SYS-0016,EMP-0206,مكتمل,2025-01-30,2026-02-24,8575000
PRJ-0096,مشروع إدارة المواهب 96,DEP-015,SYS-0033,EMP-0225,قيد التنفيذ,2025-02-07,2025-08-06,8660000
PRJ-0097,مشروع المشتريات الرقمية 97,DEP-024,SYS-0050,EMP-0244,مخطط,2025-02-15,2025-09-13,8745000
PRJ-0098,مشروع الامتثال المؤسسي 98,DEP-033,SYS-0067,EMP-0263,مكتمل,2025-02-23,2025-10-21,8830000
PRJ-0099,مشروع الأرشفة الإلكترونية 99,DEP-042,SYS-0084,EMP-0282,قيد التنفيذ,2025-03-03,2025-11-28,8915000
PRJ-0100,مشروع الابتكار المفتوح 100,DEP-001,SYS-0101,EMP-0301,مخطط,2025-03-11,2026-01-05,9000000
