id,label,department_id,vendor_id,category,criticality,status
SYS-0017,بوابة الجودة المؤسسية 17,DEP-020,VEN-0222,الجودة,منخفضة,تحت التحديث
SYS-0018,تطبيق الامتثال المؤسسية 18,DEP-027,VEN-0235,الامتثال,عالية,تشغيلي
SYS-0019,مستودع البيانات الرئيسية المؤسسية 19,DEP-034,VEN-0248,البيانات الرئيسية,متوسطة,قيد التطوير
SYS-0020,منصة ذكاء الأعمال المؤسسية 20,DEP-041,VEN-0261,ذكاء الأعمال,منخفضة,تحت التحديث
SYS-0021,نظام الموارد البشرية المؤسسية 21,DEP-048,VEN-0274,الموارد البشرية,عالية,تشغيلي
SYS-0022,بوابة المالية المؤسسية 22,DEP-005,VEN-0287,المالية,متوسطة,قيد التطوير
SYS-0023,تطبيق المشتريات المؤسسية 23,DEP-012,VEN-0300,المشتريات,منخفضة,تحت التحديث
SYS-0024,مستودع العقود المؤسسية 24,DEP-019,VEN-0013,العقود,عالية,تشغيلي
SYS-0025,منصة الوثائق المؤسسية 25,DEP-026,VEN-0026,الوثائق,متوسطة,قيد التطوير
SYS-0026,نظام خدمة العملاء المؤسسية 26,DEP-033,VEN-0039,خدمة العملاء,منخفضة,تحت التحديث
SYS-0027,بوابة إدارة المشاريع المؤسسية 27,DEP-040,VEN-0052,إدارة المشاريع,عالية,تشغيلي
SYS-0028,تطبيق المخاطر المؤسسية 28,DEP-047,VEN-0065,المخاطر,متوسطة,قيد التطوير
SYS-0029,مستودع الأصول المؤسسية 29,DEP-004,VEN-0078,الأصول,منخفضة,تحت التحديث
SYS-0030,منصة المخزون المؤسسية 30,DEP-011,VEN-0091,المخزون,عالية,تشغيلي
SYS-0031,نظام التحليلات المؤسسية 31,DEP-018,VEN-0104,التحليلات,متوسطة,قيد التطوير
SYS-0032,بوابة التدريب المؤسسية 32,DEP-025,VEN-0117,التدريب,منخفضة,تحت التحديث
SYS-0033,تطبيق الحوكمة المؤسسية 33,DEP-032,VEN-0130,الحوكمة,عالية,تشغيلي
SYS-0034,مستودع الأمن السيبراني المؤسسية 34,DEP-039,VEN-0143,الأمن السيبراني,متوسطة,قيد التطوير
SYS-0035,منصة إدارة الهوية المؤسسية 35,DEP-046,VEN-0156,إدارة الهوية,منخفضة,تحت التحديث
SYS-0036,نظام المراسلات المؤسسية 36,DEP-003,VEN-0169,المراسلات,عالية,تشغيلي
SYS-0037,بوابة الجودة المؤسسية 37,DEP-010,VEN-0182,الجودة,متوسطة,قيد التطوير
SYS-0038,تطبيق الامتثال المؤسسية 38,DEP-017,VEN-0195,الامتثال,منخفضة,تحت التحديث
SYS-0039,مستودع البيانات الرئيسية المؤسسية 39,DEP-024,VEN-0208,البيانات الرئيسية,عالية,تشغيلي
SYS-0040,منصة ذكاء الأعمال المؤسسية 40,DEP-031,VEN-0221,ذكاء الأعمال,متوسطة,قيد التطوير
SYS-0041,نظام الموارد البشرية المؤسسية 41,DEP-038,VEN-0234,الموارد البشرية,منخفضة,تحت التحديث
SYS-0042,بوابة المالية المؤسسية 42,DEP-045,VEN-0247,المالية,عالية,تشغيلي
SYS-0043,تطبيق المشتريات المؤسسية 43,DEP-002,VEN-0260,المشتريات,متوسطة,قيد التطوير
SYS-0044,مستودع العقود المؤسسية 44,DEP-009,VEN-0273,العقود,منخفضة,تحت التحديث
SYS-0045,منصة الوثائق المؤسسية 45,DEP-016,VEN-0286,الوثائق,عالية,تشغيلي
SYS-0046,نظام خدمة العملاء المؤسسية 46,DEP-023,VEN-0299,خدمة العملاء,متوسطة,قيد التطوير
SYS-0047,بوابة إدارة المشاريع المؤسسية 47,DEP-030,VEN-0012,إدارة المشاريع,منخفضة,تحت التحديث
SYS-0048,تطبيق المخاطر المؤسسية 48,DEP-037,VEN-0025,المخاطر,عالية,تشغيلي
SYS-0049,مستودع الأصول المؤسسية 49,DEP-044,VEN-0038,الأصول,متوسطة,قيد التطوير
SYS-0050,منصة المخزون المؤسسية 50,DEP-001,VEN-0051,المخزون,منخفضة,تحت التحديث
SYS-0051,نظام التحليلات المؤسسية 51,DEP-008,VEN-0064,التحليلات,عالية,تشغيلي
SYS-0052,بوابة التدريب المؤسسية 52,DEP-015,VEN-0077,التدريب,متوسطة,قيد التطوير
SYS-0053,تطبيق الحوكمة المؤسسية 53,DEP-022,VEN-0090,الحوكمة,منخفضة,تحت التحديث
SYS-0054,مستودع الأمن السيبراني المؤسسية 54,DEP-029,VEN-0103,الأمن السيبراني,عالية,تشغيلي
SYS-0055,منصة إدارة الهوية المؤسسية 55,DEP-036,VEN-0116,إدارة الهوية,متوسطة,قيد التطوير
SYS-0056,نظام المراسلات المؤسسية 56,DEP-043,VEN-0129,المراسلات,منخفضة,تحت التحديث
SYS-0057,بوابة الجودة المؤسسية 57,DEP-050,VEN-0142,الجودة,عالية,تشغيلي
SYS-0058,تطبيق الامتثال المؤسسية 58,DEP-007,VEN-0155,الامتثال,متوسطة,قيد التطوير
SYS-0059,مستودع البيانات الرئيسية المؤسسية 59,DEP-014,VEN-0168,البيانات الرئيسية,منخفضة,تحت التحديث
SYS-0060,منصة ذكاء الأعمال المؤسسية 60,DEP-021,VEN-0181,ذكاء الأعمال,عالية,تشغيلي
SYS-0061,نظام الموارد البشرية المؤسسية 61,DEP-028,VEN-0194,الموارد البشرية,متوسطة,قيد التطوير
SYS-0062,بوابة المالية المؤسسية 62,DEP-035,VEN-0207,المالية,منخفضة,تحت التحديث
SYS-0063,تطبيق المشتريات المؤسسية 63,DEP-042,VEN-0220,المشتريات,عالية,تشغيلي
SYS-0064,مستودع العقود المؤسسية 64,DEP-049,VEN-0233,العقود,متوسطة,قيد التطوير
SYS-0065,منصة الوثائق المؤسسية 65,DEP-006,VEN-0246,الوثائق,منخفضة,تحت التحديث
SYS-0066,نظام خدمة العملاء المؤسسية 66,DEP-013,VEN-0259,خدمة العملاء,عالية,تشغيلي
SYS-0067,بوابة إدارة المشاريع المؤسسية 67,DEP-020,VEN-0272,إدارة المشاريع,متوسطة,قيد التطوير
SYS-0068,تطبيق المخاطر المؤسسية 68,DEP-027,VEN-0285,المخاطر,منخفضة,تحت التحديث
SYS-0069,مستودع الأصول المؤسسية 69,DEP-034,VEN-0298,الأصول,عالية,تشغيلي
SYS-0070,منصة المخزون المؤسسية 70,DEP-041,VEN-0011,المخزون,متوسطة,قيد التطوير
SYS-0071,نظام التحليلات المؤسسية 71,DEP-048,VEN-0024,التحليلات,منخفضة,تحت التحديث
SYS-0072,بوابة التدريب المؤسسية 72,DEP-005,VEN-0037,التدريب,عالية,تشغيلي
SYS-0073,تطبيق الحوكمة المؤسسية 73,DEP-012,VEN-0050,الحوكمة,متوسطة,قيد التطوير
SYS-0074,مستودع الأمن السيبراني المؤسسية 74,DEP-019,VEN-0063,الأمن السيبراني,منخفضة,تحت التحديث
SYS-0075,منصة إدارة الهوية المؤسسية 75,DEP-026,VEN-0076,إدارة الهوية,عالية,تشغيلي
SYS-0076,نظام المراسلات المؤسسية 76,DEP-033,VEN-0089,المراسلات,متوسطة,قيد التطوير
SYS-0077,بوابة الجودة المؤسسية 77,DEP-040,VEN-0102,الجودة,منخفضة,تحت التحديث
SYS-0078,تطبيق الامتثال المؤسسية 78,DEP-047,VEN-0115,الامتثال,عالية,تشغيلي
SYS-0079,مستودع البيانات الرئيسية المؤسسية 79,DEP-004,VEN-0128,البيانات الرئيسية,متوسطة,قيد التطوير
SYS-0080,منصة ذكاء الأعمال المؤسسية 80,DEP-011,VEN-0141,ذكاء الأعمال,منخفضة,تحت التحديث
SYS-0081,نظام الموارد البشرية المؤسسية 81,DEP-018,VEN-0154,الموارد البشرية,عالية,تشغيلي
SYS-0082,بوابة المالية المؤسسية 82,DEP-025,VEN-0167,المالية,متوسطة,قيد التطوير
SYS-0083,تطبيق المشتريات المؤسسية 83,DEP-032,VEN-0180,المشتريات,منخفضة,تحت التحديث
SYS-0084,مستودع العقود المؤسسية 84,DEP-039,VEN-0193,العقود,عالية,تشغيلي
SYS-0085,منصة الوثائق المؤسسية 85,DEP-046,VEN-0206,الوثائق,متوسطة,قيد التطوير
SYS-0086,نظام خدمة العملاء المؤسسية 86,DEP-003,VEN-0219,خدمة العملاء,منخفضة,تحت التحديث
SYS-0087,بوابة إدارة المشاريع المؤسسية 87,DEP-010,VEN-0232,إدارة المشاريع,عالية,تشغيلي
SYS-0088,تطبيق المخاطر المؤسسية 88,DEP-017,VEN-0245,المخاطر,متوسطة,قيد التطوير
SYS-0089,مستودع الأصول المؤسسية 89,DEP-024,VEN-0258,الأصول,منخفضة,تحت التحديث
SYS-0090,منصة المخزون المؤسسية 90,DEP-031,VEN-0271,المخزون,عالية,تشغيلي
SYS-0091,نظام التحليلات المؤسسية 91,DEP-038,VEN-0284,التحليلات,متوسطة,قيد التطوير
SYS-0092,بوابة التدريب المؤسسية 92,DEP-045,VEN-0297,التدريب,منخفضة,تحت التحديث
SYS-0093,تطبيق الحوكمة المؤسسية 93,DEP-002,VEN-0010,الحوكمة,عالية,تشغيلي
SYS-0094,مستودع الأمن السيبراني المؤسسية 94,DEP-009,VEN-0023,الأمن السيبراني,متوسطة,قيد التطوير
SYS-0095,منصة إدارة الهوية المؤسسية 95,DEP-016,VEN-0036,إدارة الهوية,منخفضة,تحت التحديث
SYS-0096,نظام المراسلات المؤسسية 96,DEP-023,VEN-0049,المراسلات,عالية,تشغيلي
SYS-0097,بوابة الجودة المؤسسية 97,DEP-030,VEN-0062,الجودة,متوسطة,قيد التطوير
SYS-0098,تطبيق الامتثال المؤسسية 98,DEP-037,VEN-0075,الامتثال,منخفضة,تحت التحديث
SYS-0099,مستودع البيانات الرئيسية المؤسسية 99,DEP-044,VEN-0088,البيانات الرئيسية,عالية,تشغيلي
SYS-0100,منصة ذكاء الأعمال المؤسسية 100,DEP-001,VEN-0101,ذكاء الأعمال,متوسطة,قيد التطوير
SYS-0101,نظام الموارد البشرية المؤسسية 101,DEP-008,VEN-0114,الموارد البشرية,منخفضة,تحت التحديث
SYS-0102,بوابة المالية المؤسسية 102,DEP-015,VEN-0127,المالية,عالية,تشغيلي
SYS-0103,تطبيق المشتريات المؤسسية 103,DEP-022,VEN-0140,المشتريات,متوسطة,قيد التطوير
SYS-0104,مستودع العقود المؤسسية 104,DEP-029,VEN-0153,العقود,منخفضة,تحت التحديث
SYS-0105,منصة الوثائق المؤسسية 105,DEP-036,VEN-0166,الوثائق,عالية,تشغيلي
SYS-0106,نظام خدمة العملاء المؤسسية 106,DEP-043,VEN-0179,خدمة العملاء,متوسطة,قيد التطوير
SYS-0107,بوابة إدارة المشاريع المؤسسية 107,DEP-050,VEN-0192,إدارة المشاريع,منخفضة,تحت التحديث
SYS-0108,تطبيق المخاطر المؤسسية 108,DEP-007,VEN-0205,المخاطر,عالية,تشغيلي
SYS-0109,مستودع الأصول المؤسسية 109,DEP-014,VEN-0218,الأصول,متوسطة,قيد التطوير
SYS-0110,منصة المخزون المؤسسية 110,DEP-021,VEN-0231,المخزون,منخفضة,تحت التحديث
SYS-0111,نظام التحليلات المؤسسية 111,DEP-028,VEN-0244,التحليلات,عالية,تشغيلي
SYS-0112,بوابة التدريب المؤسسية 112,DEP-035,VEN-0257,التدريب,متوسطة,قيد التطوير
SYS-0113,تطبيق الحوكمة المؤسسية 113,DEP-042,VEN-0270,الحوكمة,منخفضة,تحت التحديث
SYS-0114,مستودع الأمن السيبراني المؤسسية 114,DEP-049,VEN-0283,الأمن السيبراني,عالية,تشغيلي
SYS-0115,منصة إدارة الهوية المؤسسية 115,DEP-006,VEN-0296,إدارة الهوية,متوسطة,قيد التطوير
SYS-0116,نظام المراسلات المؤسسية 116,DEP-013,VEN-0009,المراسلات,منخفضة,تحت التحديث
SYS-0117,بوابة الجودة المؤسسية 117,DEP-020,VEN-0022,الجودة,عالية,تشغيلي
SYS-0118,تطبيق الامتثال المؤسسية 118,DEP-027,VEN-0035,الامتثال,متوسطة,قيد التطوير
SYS-0119,مستودع البيانات الرئيسية المؤسسية 119,DEP-034,VEN-0048,البيانات الرئيسية,منخفضة,تحت التحديث
SYS-0120,منصة ذكاء الأعمال المؤسسية 120,DEP-041,VEN-0061,ذكاء الأعمال,عالية,تشغيلي
SYS-0121,نظام الموارد البشرية المؤسسية 121,DEP-048,VEN-0074,الموارد البشرية,متوسطة,قيد التطوير
SYS-0122,بوابة المالية المؤسسية 122,DEP-005,VEN-0087,المالية,منخفضة,تحت التحديث
SYS-0123,تطبيق المشتريات المؤسسية 123,DEP-012,VEN-0100,المشتريات,عالية,تشغيلي
SYS-0124,مستودع العقود المؤسسية 124,DEP-019,VEN-0113,العقود,متوسطة,قيد التطوير
SYS-0125,منصة الوثائق المؤسسية 125,DEP-026,VEN-0126,الوثائق,منخفضة,تحت التحديث
SYS-0126,نظام خدمة العملاء المؤسسية 126,DEP-033,VEN-0139,خدمة العملاء,عالية,تشغيلي
SYS-0127,بوابة إدارة المشاريع المؤسسية 127,DEP-040,VEN-0152,إدارة المشاريع,متوسطة,قيد التطوير
SYS-0128,تطبيق المخاطر المؤسسية 128,DEP-047,VEN-0165,المخاطر,منخفضة,تحت التحديث
SYS-0129,مستودع الأصول المؤسسية 129,DEP-004,VEN-0178,الأصول,عالية,تشغيلي
SYS-0130,منصة المخزون المؤسسية 130,DEP-011,VEN-0191,المخزون,متوسطة,قيد التطوير
SYS-0131,نظام التحليلات المؤسسية 131,DEP-018,VEN-0204,التحليلات,منخفضة,تحت التحديث
SYS-0132,بوابة التدريب المؤسسية 132,DEP-025,VEN-0217,التدريب,عالية,تشغيلي
SYS-0133,تطبيق الحوكمة المؤسسية 133,DEP-032,VEN-0230,الحوكمة,متوسطة,قيد التطوير
SYS-0134,مستودع الأمن السيبراني المؤسسية 134,DEP-039,VEN-0243,الأمن السيبراني,منخفضة,تحت التحديث
SYS-0135,منصة إدارة الهوية المؤسسية 135,DEP-046,VEN-0256,إدارة الهوية,عالية,تشغيلي
SYS-0136,نظام المراسلات المؤسسية 136,DEP-003,VEN-0269,المراسلات,متوسطة,قيد التطوير
SYS-0137,بوابة الجودة المؤسسية 137,DEP-010,VEN-0282,الجودة,منخفضة,تحت التحديث
SYS-0138,تطبيق الامتثال المؤسسية 138,DEP-017,VEN-0295,الامتثال,عالية,تشغيلي
SYS-0139,مستودع البيانات الرئيسية المؤسسية 139,DEP-024,VEN-0008,البيانات الرئيسية,متوسطة,قيد التطوير
SYS-0140,منصة ذكاء الأعمال المؤسسية 140,DEP-031,VEN-0021,ذكاء الأعمال,منخفضة,تحت التحديث
SYS-0141,نظام الموارد البشرية المؤسسية 141,DEP-038,VEN-0034,الموارد البشرية,عالية,تشغيلي
SYS-0142,بوابة المالية المؤسسية 142,DEP-045,VEN-0047,المالية,متوسطة,قيد التطوير
SYS-0143,تطبيق المشتريات المؤسسية 143,DEP-002,VEN-0060,المشتريات,منخفضة,تحت التحديث
SYS-0144,مستودع العقود المؤسسية 144,DEP-009,VEN-0073,العقود,عالية,تشغيلي
SYS-0145,منصة الوثائق المؤسسية 145,DEP-016,VEN-0086,الوثائق,متوسطة,قيد التطوير
SYS-0146,نظام خدمة العملاء المؤسسية 146,DEP-023,VEN-0099,خدمة العملاء,منخفضة,تحت التحديث
SYS-0147,بوابة إدارة المشاريع المؤسسية 147,DEP-030,VEN-0112,إدارة المشاريع,عالية,تشغيلي
SYS-0148,تطبيق المخاطر المؤسسية 148,DEP-037,VEN-0125,المخاطر,متوسطة,قيد التطوير
SYS-0149,مستودع الأصول المؤسسية 149,DEP-044,VEN-0138,الأصول,منخفضة,تحت التحديث
SYS-0150,منصة المخزون المؤسسية 150,DEP-001,VEN-0151,المخزون,عالية,تشغيلي
SYS-0151,نظام التحليلات المؤسسية 151,DEP-008,VEN-0164,التحليلات,متوسطة,قيد التطوير
SYS-0152,بوابة التدريب المؤسسية 152,DEP-015,VEN-0177,التدريب,منخفضة,تحت التحديث
SYS-0153,تطبيق الحوكمة المؤسسية 153,DEP-022,VEN-0190,الحوكمة,عالية,تشغيلي
SYS-0154,مستودع الأمن السيبراني المؤسسية 154,DEP-029,VEN-0203,الأمن السيبراني,متوسطة,قيد التطوير
SYS-0155,منصة إدارة الهوية المؤسسية 155,DEP-036,VEN-0216,إدارة الهوية,منخفضة,تحت التحديث
SYS-0156,نظام المراسلات المؤسسية 156,DEP-043,VEN-0229,المراسلات,عالية,تشغيلي
SYS-0157,بوابة الجودة المؤسسية 157,DEP-050,VEN-0242,الجودة,متوسطة,قيد التطوير
SYS-0158,تطبيق الامتثال المؤسسية 158,DEP-007,VEN-0255,الامتثال,منخفضة,تحت التحديث
SYS-0159,مستودع البيانات الرئيسية المؤسسية 159,DEP-014,VEN-0268,البيانات الرئيسية,عالية,تشغيلي
SYS-0160,منصة ذكاء الأعمال المؤسسية 160,DEP-021,VEN-0281,ذكاء الأعمال,متوسطة,قيد التطوير
SYS-0161,نظام الموارد البشرية المؤسسية 161,DEP-028,VEN-0294,الموارد البشرية,منخفضة,تحت التحديث
SYS-0162,بوابة المالية المؤسسية 162,DEP-035,VEN-0007,المالية,عالية,تشغيلي
SYS-0163,تطبيق المشتريات المؤسسية 163,DEP-042,VEN-0020,المشتريات,متوسطة,قيد التطوير
SYS-0164,مستودع العقود المؤسسية 164,DEP-049,VEN-0033,العقود,منخفضة,تحت التحديث
SYS-0165,منصة الوثائق المؤسسية 165,DEP-006,VEN-0046,الوثائق,عالية,تشغيلي
SYS-0166,نظام خدمة العملاء المؤسسية 166,DEP-013,VEN-0059,خدمة العملاء,متوسطة,قيد التطوير
SYS-0167,بوابة إدارة المشاريع المؤسسية 167,DEP-020,VEN-0072,إدارة المشاريع,منخفضة,تحت التحديث
SYS-0168,تطبيق المخاطر المؤسسية 168,DEP-027,VEN-0085,المخاطر,عالية,تشغيلي
SYS-0169,مستودع الأصول المؤسسية 169,DEP-034,VEN-0098,الأصول,متوسطة,قيد التطوير
SYS-0170,منصة المخزون المؤسسية 170,DEP-041,VEN-0111,المخزون,منخفضة,تحت التحديث
SYS-0171,نظام التحليلات المؤسسية 171,DEP-048,VEN-0124,التحليلات,عالية,تشغيلي
SYS-0172,بوابة التدريب المؤسسية 172,DEP-005,VEN-0137,التدريب,متوسطة,قيد التطوير
SYS-0173,تطبيق الحوكمة المؤسسية 173,DEP-012,VEN-0150,الحوكمة,منخفضة,تحت التحديث
SYS-0174,مستودع الأمن السيبراني المؤسسية 174,DEP-019,VEN-0163,الأمن السيبراني,عالية,تشغيلي
SYS-0175,منصة إدارة الهوية المؤسسية 175,DEP-026,VEN-0176,إدارة الهوية,متوسطة,قيد التطوير
SYS-0176,نظام المراسلات المؤسسية 176,DEP-033,VEN-0189,المراسلات,منخفضة,تحت التحديث
SYS-0177,بوابة الجودة المؤسسية 177,DEP-040,VEN-0202,الجودة,عالية,تشغيلي
SYS-0178,تطبيق الامتثال المؤسسية 178,DEP-047,VEN-0215,الامتثال,متوسطة,قيد التطوير
SYS-0179,مستودع البيانات الرئيسية المؤسسية 179,DEP-004,VEN-0228,البيانات الرئيسية,منخفضة,تحت التحديث
SYS-0180,منصة ذكاء الأعمال المؤسسية 180,DEP-011,VEN-0241,ذكاء الأعمال,عالية,تشغيلي
SYS-0181,نظام الموارد البشرية المؤسسية 181,DEP-018,VEN-0254,الموارد البشرية,متوسطة,قيد التطوير
SYS-0182,بوابة المالية المؤسسية 182,DEP-025,VEN-0267,المالية,منخفضة,تحت التحديث
SYS-0183,تطبيق المشتريات المؤسسية 183,DEP-032,VEN-0280,المشتريات,عالية,تشغيلي
SYS-0184,مستودع العقود المؤسسية 184,DEP-039,VEN-0293,العقود,متوسطة,قيد التطوير
SYS-0185,منصة الوثائق المؤسسية 185,DEP-046,VEN-0006,الوثائق,منخفضة,تحت التحديث
SYS-0186,نظام خدمة العملاء المؤسسية 186,DEP-003,VEN-0019,خدمة العملاء,عالية,تشغيلي
SYS-0187,بوابة إدارة المشاريع المؤسسية 187,DEP-010,VEN-0032,إدارة المشاريع,متوسطة,قيد التطوير
SYS-0188,تطبيق المخاطر المؤسسية 188,DEP-017,VEN-0045,المخاطر,منخفضة,تحت التحديث
SYS-0189,مستودع الأصول المؤسسية 189,DEP-024,VEN-0058,الأصول,عالية,تشغيلي
SYS-0190,منصة المخزون المؤسسية 190,DEP-031,VEN-0071,المخزون,متوسطة,قيد التطوير
SYS-0191,نظام التحليلات المؤسسية 191,DEP-038,VEN-0084,التحليلات,منخفضة,تحت التحديث
SYS-0192,بوابة التدريب المؤسسية 192,DEP-045,VEN-0097,التدريب,عالية,تشغيلي
SYS-0193,تطبيق الحوكمة المؤسسية 193,DEP-002,VEN-0110,الحوكمة,متوسطة,قيد التطوير
SYS-0194,مستودع الأمن السيبراني المؤسسية 194,DEP-009,VEN-0123,الأمن السيبراني,منخفضة,تحت التحديث
SYS-0195,منصة إدارة الهوية المؤسسية 195,DEP-016,VEN-0136,إدارة الهوية,عالية,تشغيلي
SYS-0196,نظام المراسلات المؤسسية 196,DEP-023,VEN-0149,المراسلات,متوسطة,قيد التطوير
SYS-0197,بوابة الجودة المؤسسية 197,DEP-030,VEN-0162,الجودة,منخفضة,تحت التحديث
SYS-0198,تطبيق الامتثال المؤسسية 198,DEP-037,VEN-0175,الامتثال,عالية,تشغيلي
SYS-0199,مستودع البيانات الرئيسية المؤسسية 199,DEP-044,VEN-0188,البيانات الرئيسية,متوسطة,قيد التطوير
SYS-0200,منصة ذكاء الأعمال المؤسسية 200,DEP-001,VEN-0201,ذكاء الأعمال,منخفضة,تحت التحديث
