id,label,city,specialty,classification,commercial_status
VEN-0078,شركة الإتقان الأمن السيبراني 78,تبوك,الخدمات السحابية,استراتيجي,نشط
VEN-0079,مؤسسة السحابة التدريب 79,القصيم,تكامل الأنظمة,معتمد,نشط
VEN-0080,مجموعة التكامل الحلول الرقمية 80,حائل,الحلول الرقمية,مسجل,نشط
VEN-0081,شركة الركائز تحليل البيانات 81,جازان,الاستشارات,استراتيجي,نشط
VEN-0082,مؤسسة التميز الخدمات السحابية 82,نجران,الأمن السيبراني,معتمد,نشط
VEN-0083,مجموعة الابتكار الاستشارات 83,الأحساء,تحليل البيانات,مسجل,نشط
VEN-0084,شركة البيان البنية التحتية 84,الرياض,البنية التحتية,استراتيجي,نشط
VEN-0085,مؤسسة المستقبل تكامل الأنظمة 85,جدة,التدريب,معتمد,نشط
VEN-0086,مجموعة الدرع الأمن السيبراني 86,الدمام,الخدمات السحابية,مسجل,نشط
VEN-0087,شركة المعرفة التدريب 87,مكة المكرمة,تكامل الأنظمة,استراتيجي,نشط
VEN-0088,مؤسسة المنارة الحلول الرقمية 88,المدينة المنورة,الحلول الرقمية,معتمد,نشط
VEN-0089,مجموعة المسار تحليل البيانات 89,أبها,الاستشارات,مسجل,نشط
VEN-0090,شركة الواحة الخدمات السحابية 90,تبوك,الأمن السيبراني,استراتيجي,نشط
VEN-0091,مؤسسة البوصلة الاستشارات 91,القصيم,تحليل البيانات,معتمد,نشط
VEN-0092,مجموعة المدار البنية التحتية 92,حائل,البنية التحتية,مسجل,نشط
VEN-0093,شركة الرؤية تكامل الأنظمة 93,جازان,التدريب,استراتيجي,نشط
VEN-0094,مؤسسة الربط الأمن السيبراني 94,نجران,الخدمات السحابية,معتمد,نشط
VEN-0095,مجموعة الصفوة التدريب 95,الأحساء,تكامل الأنظمة,مسجل,نشط
VEN-0096,شركة الرواد الحلول الرقمية 96,الرياض,الحلول الرقمية,استراتيجي,نشط
VEN-0097,مؤسسة النخبة تحليل البيانات 97,جدة,الاستشارات,معتمد,نشط
VEN-0098,مجموعة الريادة الخدمات السحابية 98,الدمام,الأمن السيبراني,مسجل,نشط
VEN-0099,شركة الحلول الاستشارات 99,مكة المكرمة,تحليل البيانات,استراتيجي,نشط
VEN-0100,مؤسسة القمم البنية التحتية 100,المدينة المنورة,البنية التحتية,معتمد,نشط
VEN-0101,مجموعة الآفاق تكامل الأنظمة 101,أبها,التدريب,مسجل,نشط
VEN-0102,شركة الإتقان الأمن السيبراني 102,تبوك,الخدمات السحابية,استراتيجي,نشط
VEN-0103,مؤسسة السحابة التدريب 103,القصيم,تكامل الأنظمة,معتمد,نشط
VEN-0104,مجموعة التكامل الحلول الرقمية 104,حائل,الحلول الرقمية,مسجل,نشط
VEN-0105,شركة الركائز تحليل البيانات 105,جازان,الاستشارات,استراتيجي,نشط
VEN-0106,مؤسسة التميز الخدمات السحابية 106,نجران,الأمن السيبراني,معتمد,نشط
VEN-0107,مجموعة الابتكار الاستشارات 107,الأحساء,تحليل البيانات,مسجل,نشط
VEN-0108,شركة البيان البنية التحتية 108,الرياض,البنية التحتية,استراتيجي,نشط
VEN-0109,مؤسسة المستقبل تكامل الأنظمة 109,جدة,التدريب,معتمد,نشط
VEN-0110,مجموعة الدرع الأمن السيبراني 110,الدمام,الخدمات السحابية,مسجل,نشط
VEN-0111,شركة المعرفة التدريب 111,مكة المكرمة,تكامل الأنظمة,استراتيجي,نشط
VEN-0112,مؤسسة المنارة الحلول الرقمية 112,المدينة المنورة,الحلول الرقمية,معتمد,نشط
VEN-0113,مجموعة المسار تحليل البيانات 113,أبها,الاستشارات,مسجل,نشط
VEN-0114,شركة الواحة الخدمات السحابية 114,تبوك,الأمن السيبراني,استراتيجي,نشط
VEN-0115,مؤسسة البوصلة الاستشارات 115,القصيم,تحليل البيانات,معتمد,نشط
VEN-0116,مجموعة المدار البنية التحتية 116,حائل,البنية التحتية,مسجل,نشط
VEN-0117,شركة الرؤية تكامل الأنظمة 117,جازان,التدريب,استراتيجي,نشط
VEN-0118,مؤسسة الربط الأمن السيبراني 118,نجران,الخدمات السحابية,معتمد,نشط
VEN-0119,مجموعة الصفوة التدريب 119,الأحساء,تكامل الأنظمة,مسجل,نشط
VEN-0120,شركة الرواد الحلول الرقمية 120,الرياض,الحلول الرقمية,استراتيجي,نشط
VEN-0121,مؤسسة النخبة تحليل البيانات 121,جدة,الاستشارات,معتمد,نشط
VEN-0122,مجموعة الريادة الخدمات السحابية 122,الدمام,الأمن السيبراني,مسجل,نشط
VEN-0123,شركة الحلول الاستشارات 123,مكة المكرمة,تحليل البيانات,استراتيجي,نشط
VEN-0124,مؤسسة القمم البنية التحتية 124,المدينة المنورة,البنية التحتية,معتمد,نشط
VEN-0125,مجموعة الآفاق تكامل الأنظمة 125,أبها,التدريب,مسجل,نشط
VEN-0126,شركة الإتقان الأمن السيبراني 126,تبوك,الخدمات السحابية,استراتيجي,نشط
VEN-0127,مؤسسة السحابة التدريب 127,القصيم,تكامل الأنظمة,معتمد,نشط
VEN-0128,مجموعة التكامل الحلول الرقمية 128,حائل,الحلول الرقمية,مسجل,نشط
VEN-0129,شركة الركائز تحليل البيانات 129,جازان,الاستشارات,استراتيجي,نشط
VEN-0130,مؤسسة التميز الخدمات السحابية 130,نجران,الأمن السيبراني,معتمد,نشط
VEN-0131,مجموعة الابتكار الاستشارات 131,الأحساء,تحليل البيانات,مسجل,نشط
VEN-0132,شركة البيان البنية التحتية 132,الرياض,البنية التحتية,استراتيجي,نشط
VEN-0133,مؤسسة المستقبل تكامل الأنظمة 133,جدة,التدريب,معتمد,نشط
VEN-0134,مجموعة الدرع الأمن السيبراني 134,الدمام,الخدمات السحابية,مسجل,نشط
VEN-0135,شركة المعرفة التدريب 135,مكة المكرمة,تكامل الأنظمة,استراتيجي,نشط
VEN-0136,مؤسسة المنارة الحلول الرقمية 136,المدينة المنورة,الحلول الرقمية,معتمد,نشط
VEN-0137,مجموعة المسار تحليل البيانات 137,أبها,الاستشارات,مسجل,نشط
VEN-0138,شركة الواحة الخدمات السحابية 138,تبوك,الأمن السيبراني,استراتيجي,نشط
VEN-0139,مؤسسة البوصلة الاستشارات 139,القصيم,تحليل البيانات,معتمد,نشط
VEN-0140,مجموعة المدار البنية التحتية 140,حائل,البنية التحتية,مسجل,نشط
VEN-0141,شركة الرؤية تكامل الأنظمة 141,جازان,التدريب,استراتيجي,نشط
VEN-0142,مؤسسة الربط الأمن السيبراني 142,نجران,الخدمات السحابية,معتمد,نشط
VEN-0143,مجموعة الصفوة التدريب 143,الأحساء,تكامل الأنظمة,مسجل,نشط
VEN-0144,شركة الرواد الحلول الرقمية 144,الرياض,الحلول الرقمية,استراتيجي,نشط
VEN-0145,مؤسسة النخبة تحليل البيانات 145,جدة,الاستشارات,معتمد,نشط
VEN-0146,مجموعة الريادة الخدمات السحابية 146,الدمام,الأمن السيبراني,مسجل,نشط
VEN-0147,شركة الحلول الاستشارات 147,مكة المكرمة,تحليل البيانات,استراتيجي,نشط
VEN-0148,مؤسسة القمم البنية التحتية 148,المدينة المنورة,البنية التحتية,معتمد,نشط
VEN-0149,مجموعة الآفاق تكامل الأنظمة 149,أبها,التدريب,مسجل,نشط
VEN-0150,شركة الإتقان الأمن السيبراني 150,تبوك,الخدمات السحابية,استراتيجي,نشط
VEN-0151,مؤسسة السحابة التدريب 151,القصيم,تكامل الأنظمة,معتمد,نشط
VEN-0152,مجموعة التكامل الحلول الرقمية 152,حائل,الحلول الرقمية,مسجل,نشط
VEN-0153,شركة الركائز تحليل البيانات 153,جازان,الاستشارات,استراتيجي,نشط
VEN-0154,مؤسسة التميز الخدمات السحابية 154,نجران,الأمن السيبراني,معتمد,نشط
VEN-0155,مجموعة الابتكار الاستشارات 155,الأحساء,تحليل البيانات,مسجل,نشط
VEN-0156,شركة البيان البنية التحتية 156,الرياض,البنية التحتية,استراتيجي,نشط
VEN-0157,مؤسسة المستقبل تكامل الأنظمة 157,جدة,التدريب,معتمد,نشط
VEN-0158,مجموعة الدرع الأمن السيبراني 158,الدمام,الخدمات السحابية,مسجل,نشط
VEN-0159,شركة المعرفة التدريب 159,مكة المكرمة,تكامل الأنظمة,استراتيجي,نشط
VEN-0160,مؤسسة المنارة الحلول الرقمية 160,المدينة المنورة,الحلول الرقمية,معتمد,نشط
VEN-0161,مجموعة المسار تحليل البيانات 161,أبها,الاستشارات,مسجل,نشط
VEN-0162,شركة الواحة الخدمات السحابية 162,تبوك,الأمن السيبراني,استراتيجي,نشط
VEN-0163,مؤسسة البوصلة الاستشارات 163,القصيم,تحليل البيانات,معتمد,نشط
VEN-0164,مجموعة المدار البنية التحتية 164,حائل,البنية التحتية,مسجل,نشط
VEN-0165,شركة الرؤية تكامل الأنظمة 165,جازان,التدريب,استراتيجي,نشط
VEN-0166,مؤسسة الربط الأمن السيبراني 166,نجران,الخدمات السحابية,معتمد,نشط
VEN-0167,مجموعة الصفوة التدريب 167,الأحساء,تكامل الأنظمة,مسجل,نشط
VEN-0168,شركة الرواد الحلول الرقمية 168,الرياض,الحلول الرقمية,استراتيجي,نشط
VEN-0169,مؤسسة النخبة تحليل البيانات 169,جدة,الاستشارات,معتمد,نشط
VEN-0170,مجموعة الريادة الخدمات السحابية 170,الدمام,الأمن السيبراني,مسجل,نشط
VEN-0171,شركة الحلول الاستشارات 171,مكة المكرمة,تحليل البيانات,استراتيجي,نشط
VEN-0172,مؤسسة القمم البنية التحتية 172,المدينة المنورة,البنية التحتية,معتمد,نشط
VEN-0173,مجموعة الآفاق تكامل الأنظمة 173,أبها,التدريب,مسجل,نشط
VEN-0174,شركة الإتقان الأمن السيبراني 174,تبوك,الخدمات السحابية,استراتيجي,نشط
VEN-0175,مؤسسة السحابة التدريب 175,القصيم,تكامل الأنظمة,معتمد,نشط
VEN-0176,مجموعة التكامل الحلول الرقمية 176,حائل,الحلول الرقمية,مسجل,نشط
VEN-0177,شركة الركائز تحليل البيانات 177,جازان,الاستشارات,استراتيجي,نشط
VEN-0178,مؤسسة التميز الخدمات السحابية 178,نجران,الأمن السيبراني,معتمد,نشط
VEN-0179,مجموعة الابتكار الاستشارات 179,الأحساء,تحليل البيانات,مسجل,نشط
VEN-0180,شركة البيان البنية التحتية 180,الرياض,البنية التحتية,استراتيجي,نشط
VEN-0181,مؤسسة المستقبل تكامل الأنظمة 181,جدة,التدريب,معتمد,نشط
VEN-0182,مجموعة الدرع الأمن السيبراني 182,الدمام,الخدمات السحابية,مسجل,نشط
VEN-0183,شركة المعرفة التدريب 183,مكة المكرمة,تكامل الأنظمة,استراتيجي,نشط
VEN-0184,مؤسسة المنارة الحلول الرقمية 184,المدينة المنورة,الحلول الرقمية,معتمد,نشط
VEN-0185,مجموعة المسار تحليل البيانات 185,أبها,الاستشارات,مسجل,نشط
VEN-0186,شركة الواحة الخدمات السحابية 186,تبوك,الأمن السيبراني,استراتيجي,نشط
VEN-0187,مؤسسة البوصلة الاستشارات 187,القصيم,تحليل البيانات,معتمد,نشط
VEN-0188,مجموعة المدار البنية التحتية 188,حائل,البنية التحتية,مسجل,نشط
VEN-0189,شركة الرؤية تكامل الأنظمة 189,جازان,التدريب,استراتيجي,نشط
VEN-0190,مؤسسة الربط الأمن السيبراني 190,نجران,الخدمات السحابية,معتمد,نشط
VEN-0191,مجموعة الصفوة التدريب 191,الأحساء,تكامل الأنظمة,مسجل,نشط
VEN-0192,شركة الرواد الحلول الرقمية 192,الرياض,الحلول الرقمية,استراتيجي,نشط
VEN-0193,مؤسسة النخبة تحليل البيانات 193,جدة,الاستشارات,معتمد,نشط
VEN-0194,مجموعة الريادة الخدمات السحابية 194,الدمام,الأمن السيبراني,مسجل,نشط
VEN-0195,شركة الحلول الاستشارات 195,مكة المكرمة,تحليل البيانات,استراتيجي,نشط
VEN-0196,مؤسسة القمم البنية التحتية 196,المدينة المنورة,البنية التحتية,معتمد,نشط
VEN-0197,مجموعة الآفاق تكامل الأنظمة 197,أبها,التدريب,مسجل,نشط
VEN-0198,شركة الإتقان الأمن السيبراني 198,تبوك,الخدمات السحابية,استراتيجي,نشط
VEN-0199,مؤسسة السحابة التدريب 199,القصيم,تكامل الأنظمة,معتمد,نشط
VEN-0200,مجموعة التكامل الحلول الرقمية 200,حائل,الحلول الرقمية,مسجل,نشط
VEN-0201,شركة الركائز تحليل البيانات 201,جازان,الاستشارات,استراتيجي,نشط
VEN-0202,مؤسسة التميز الخدمات السحابية 202,نجران,الأمن السيبراني,معتمد,نشط
VEN-0203,مجموعة الابتكار الاستشارات 203,الأحساء,تحليل البيانات,مسجل,نشط
VEN-0204,شركة البيان البنية التحتية 204,الرياض,البنية التحتية,استراتيجي,نشط
VEN-0205,مؤسسة المستقبل تكامل الأنظمة 205,جدة,التدريب,معتمد,نشط
VEN-0206,مجموعة الدرع الأمن السيبراني 206,الدمام,الخدمات السحابية,مسجل,نشط
VEN-0207,شركة المعرفة التدريب 207,مكة المكرمة,تكامل الأنظمة,استراتيجي,نشط
VEN-0208,مؤسسة المنارة الحلول الرقمية 208,المدينة المنورة,الحلول الرقمية,معتمد,نشط
VEN-0209,مجموعة المسار تحليل البيانات 209,أبها,الاستشارات,مسجل,نشط
VEN-0210,شركة الواحة الخدمات السحابية 210,تبوك,الأمن السيبراني,استراتيجي,نشط
VEN-0211,مؤسسة البوصلة الاستشارات 211,القصيم,تحليل البيانات,معتمد,نشط
VEN-0212,مجموعة المدار البنية التحتية 212,حائل,البنية التحتية,مسجل,نشط
VEN-0213,شركة الرؤية تكامل الأنظمة 213,جازان,التدريب,استراتيجي,نشط
VEN-0214,مؤسسة الربط الأمن السيبراني 214,نجران,الخدمات السحابية,معتمد,نشط
VEN-0215,مجموعة الصفوة التدريب 215,الأحساء,تكامل الأنظمة,مسجل,نشط
VEN-0216,شركة الرواد الحلول الرقمية 216,الرياض,الحلول الرقمية,استراتيجي,نشط
VEN-0217,مؤسسة النخبة تحليل البيانات 217,جدة,الاستشارات,معتمد,نشط
VEN-0218,مجموعة الريادة الخدمات السحابية 218,الدمام,الأمن السيبراني,مسجل,نشط
VEN-0219,شركة الحلول الاستشارات 219,مكة المكرمة,تحليل البيانات,استراتيجي,نشط
VEN-0220,مؤسسة القمم البنية التحتية 220,المدينة المنورة,البنية التحتية,معتمد,نشط
VEN-0221,مجموعة الآفاق تكامل الأنظمة 221,أبها,التدريب,مسجل,نشط
VEN-0222,شركة الإتقان الأمن السيبراني 222,تبوك,الخدمات السحابية,استراتيجي,نشط
VEN-0223,مؤسسة السحابة التدريب 223,القصيم,تكامل الأنظمة,معتمد,نشط
VEN-0224,مجموعة التكامل الحلول الرقمية 224,حائل,الحلول الرقمية,مسجل,نشط
VEN-0225,شركة الركائز تحليل البيانات 225,جازان,الاستشارات,استراتيجي,نشط
VEN-0226,مؤسسة التميز الخدمات السحابية 226,نجران,الأمن السيبراني,معتمد,نشط
VEN-0227,مجموعة الابتكار الاستشارات 227,الأحساء,تحليل البيانات,مسجل,نشط
VEN-0228,شركة البيان البنية التحتية 228,الرياض,البنية التحتية,استراتيجي,نشط
VEN-0229,مؤسسة المستقبل تكامل الأنظمة 229,جدة,التدريب,معتمد,نشط
VEN-0230,مجموعة الدرع الأمن السيبراني 230,الدمام,الخدمات السحابية,مسجل,نشط
VEN-0231,شركة المعرفة التدريب 231,مكة المكرمة,تكامل الأنظمة,استراتيجي,نشط
VEN-0232,مؤسسة المنارة الحلول الرقمية 232,المدينة المنورة,الحلول الرقمية,معتمد,نشط
VEN-0233,مجموعة المسار تحليل البيانات 233,أبها,الاستشارات,مسجل,نشط
VEN-0234,شركة الواحة الخدمات السحابية 234,تبوك,الأمن السيبراني,استراتيجي,نشط
VEN-0235,مؤسسة البوصلة الاستشارات 235,القصيم,تحليل البيانات,معتمد,نشط
VEN-0236,مجموعة المدار البنية التحتية 236,حائل,البنية التحتية,مسجل,نشط
VEN-0237,شركة الرؤية تكامل الأنظمة 237,جازان,التدريب,استراتيجي,نشط
VEN-0238,مؤسسة الربط الأمن السيبراني 238,نجران,الخدمات السحابية,معتمد,نشط
VEN-0239,مجموعة الصفوة التدريب 239,الأحساء,تكامل الأنظمة,مسجل,نشط
VEN-0240,شركة الرواد الحلول الرقمية 240,الرياض,الحلول الرقمية,استراتيجي,نشط
VEN-0241,مؤسسة النخبة تحليل البيانات 241,جدة,الاستشارات,معتمد,نشط
VEN-0242,مجموعة الريادة الخدمات السحابية 242,الدمام,الأمن السيبراني,مسجل,نشط
VEN-0243,شركة الحلول الاستشارات 243,مكة المكرمة,تحليل البيانات,استراتيجي,نشط
VEN-0244,مؤسسة القمم البنية التحتية 244,المدينة المنورة,البنية التحتية,معتمد,نشط
VEN-0245,مجموعة الآفاق تكامل الأنظمة 245,أبها,التدريب,مسجل,نشط
VEN-0246,شركة الإتقان الأمن السيبراني 246,تبوك,الخدمات السحابية,استراتيجي,نشط
VEN-0247,مؤسسة السحابة التدريب 247,القصيم,تكامل الأنظمة,معتمد,نشط
VEN-0248,مجموعة التكامل الحلول الرقمية 248,حائل,الحلول الرقمية,مسجل,نشط
VEN-0249,شركة الركائز تحليل البيانات 249,جازان,الاستشارات,استراتيجي,نشط
VEN-0250,مؤسسة التميز الخدمات السحابية 250,نجران,الأمن السيبراني,معتمد,نشط
VEN-0251,مجموعة الابتكار الاستشارات 251,الأحساء,تحليل البيانات,مسجل,نشط
VEN-0252,شركة البيان البنية التحتية 252,الرياض,البنية التحتية,استراتيجي,نشط
VEN-0253,مؤسسة المستقبل تكامل الأنظمة 253,جدة,التدريب,معتمد,نشط
VEN-0254,مجموعة الدرع الأمن السيبراني 254,الدمام,الخدمات السحابية,مسجل,نشط
VEN-0255,شركة المعرفة التدريب 255,مكة المكرمة,تكامل الأنظمة,استراتيجي,نشط
VEN-0256,مؤسسة المنارة الحلول الرقمية 256,المدينة المنورة,الحلول الرقمية,معتمد,نشط
VEN-0257,مجموعة المسار تحليل البيانات 257,أبها,الاستشارات,مسجل,نشط
VEN-0258,شركة الواحة الخدمات السحابية 258,تبوك,الأمن السيبراني,استراتيجي,نشط
VEN-0259,مؤسسة البوصلة الاستشارات 259,القصيم,تحليل البيانات,معتمد,نشط
VEN-0260,مجموعة المدار البنية التحتية 260,حائل,البنية التحتية,مسجل,نشط
VEN-0261,شركة الرؤية تكامل الأنظمة 261,جازان,التدريب,استراتيجي,نشط
VEN-0262,مؤسسة الربط الأمن السيبراني 262,نجران,الخدمات السحابية,معتمد,نشط
VEN-0263,مجموعة الصفوة التدريب 263,الأحساء,تكامل الأنظمة,مسجل,نشط
VEN-0264,شركة الرواد الحلول الرقمية 264,الرياض,الحلول الرقمية,استراتيجي,نشط
VEN-0265,مؤسسة النخبة تحليل البيانات 265,جدة,الاستشارات,معتمد,نشط
VEN-0266,مجموعة الريادة الخدمات السحابية 266,الدمام,الأمن السيبراني,مسجل,نشط
VEN-0267,شركة الحلول الاستشارات 267,مكة المكرمة,تحليل البيانات,استراتيجي,نشط
VEN-0268,مؤسسة القمم البنية التحتية 268,المدينة المنورة,البنية التحتية,معتمد,نشط
VEN-0269,مجموعة الآفاق تكامل الأنظمة 269,أبها,التدريب,مسجل,نشط
VEN-0270,شركة الإتقان الأمن السيبراني 270,تبوك,الخدمات السحابية,استراتيجي,نشط
VEN-0271,مؤسسة السحابة التدريب 271,القصيم,تكامل الأنظمة,معتمد,نشط
VEN-0272,مجموعة التكامل الحلول الرقمية 272,حائل,الحلول الرقمية,مسجل,نشط
VEN-0273,شركة الركائز تحليل البيانات 273,جازان,الاستشارات,استراتيجي,نشط
VEN-0274,مؤسسة التميز الخدمات السحابية 274,نجران,الأمن السيبراني,معتمد,نشط
VEN-0275,مجموعة الابتكار الاستشارات 275,الأحساء,تحليل البيانات,مسجل,نشط
VEN-0276,شركة البيان البنية التحتية 276,الرياض,البنية التحتية,استراتيجي,نشط
VEN-0277,مؤسسة المستقبل تكامل الأنظمة 277,جدة,التدريب,معتمد,نشط
