employee_id,project_id,role,allocation_percent
EMP-0209,PRJ-0005,عضو فريق,50
EMP-0240,PRJ-0005,قائد مسار,60
EMP-0271,PRJ-0005,محلل أعمال,20
EMP-0302,PRJ-0005,مهندس حلول,30
EMP-0333,PRJ-0005,عضو فريق,40
EMP-0364,PRJ-0005,قائد مسار,50
EMP-0395,PRJ-0005,محلل أعمال,60
EMP-0426,PRJ-0005,مهندس حلول,20
EMP-0457,PRJ-0005,عضو فريق,30
EMP-0139,PRJ-0006,قائد مسار,20
EMP-0170,PRJ-0006,محلل أعمال,30
EMP-0201,PRJ-0006,مهندس حلول,40
EMP-0232,PRJ-0006,عضو فريق,50
EMP-0263,PRJ-0006,قائد مسار,60
EMP-0294,PRJ-0006,محلل أعمال,20
EMP-0325,PRJ-0006,مهندس حلول,30
EMP-0356,PRJ-0006,عضو فريق,40
EMP-0387,PRJ-0006,قائد مسار,50
EMP-0418,PRJ-0006,محلل أعمال,60
EMP-0449,PRJ-0006,مهندس حلول,20
EMP-0480,PRJ-0006,عضو فريق,30
EMP-0162,PRJ-0007,قائد مسار,20
EMP-0193,PRJ-0007,محلل أعمال,30
EMP-0224,PRJ-0007,مهندس حلول,40
EMP-0255,PRJ-0007,عضو فريق,50
EMP-0286,PRJ-0007,قائد مسار,60
EMP-0317,PRJ-0007,محلل أعمال,20
EMP-0348,PRJ-0007,مهندس حلول,30
EMP-0379,PRJ-0007,عضو فريق,40
EMP-0410,PRJ-0007,قائد مسار,50
EMP-0441,PRJ-0007,محلل أعمال,60
EMP-0472,PRJ-0007,مهندس حلول,20
EMP-0503,PRJ-0007,عضو فريق,30
EMP-0185,PRJ-0008,قائد مسار,20
EMP-0216,PRJ-0008,محلل أعمال,30
EMP-0247,PRJ-0008,مهندس حلول,40
EMP-0278,PRJ-0008,عضو فريق,50
EMP-0309,PRJ-0008,قائد مسار,60
EMP-0340,PRJ-0008,محلل أعمال,20
EMP-0371,PRJ-0008,مهندس حلول,30
EMP-0402,PRJ-0008,عضو فريق,40
EMP-0433,PRJ-0008,قائد مسار,50
EMP-0464,PRJ-0008,محلل أعمال,60
EMP-0495,PRJ-0008,مهندس حلول,20
EMP-0526,PRJ-0008,عضو فريق,30
EMP-0208,PRJ-0009,قائد مسار,20
EMP-0239,PRJ-0009,محلل أعمال,30
EMP-0270,PRJ-0009,مهندس حلول,40
EMP-0301,PRJ-0009,عضو فريق,50
EMP-0332,PRJ-0009,قائد مسار,60
EMP-0363,PRJ-0009,محلل أعمال,20
EMP-0394,PRJ-0009,مهندس حلول,30
EMP-0425,PRJ-0009,عضو فريق,40
EMP-0456,PRJ-0009,قائد مسار,50
EMP-0487,PRJ-0009,محلل أعمال,60
EMP-0518,PRJ-0009,مهندس حلول,20
EMP-0549,PRJ-0009,عضو فريق,30
EMP-0231,PRJ-0010,قائد مسار,20
EMP-0262,PRJ-0010,محلل أعمال,30
EMP-0293,PRJ-0010,مهندس حلول,40
EMP-0324,PRJ-0010,عضو فريق,50
EMP-0355,PRJ-0010,قائد مسار,60
EMP-0386,PRJ-0010,محلل أعمال,20
EMP-0417,PRJ-0010,مهندس حلول,30
EMP-0448,PRJ-0010,عضو فريق,40
EMP-0479,PRJ-0010,قائد مسار,50
EMP-0510,PRJ-0010,محلل أعمال,60
EMP-0541,PRJ-0010,مهندس حلول,20
EMP-0572,PRJ-0010,عضو فريق,30
EMP-0254,PRJ-0011,قائد مسار,20
EMP-0285,PRJ-0011,محلل أعمال,30
EMP-0316,PRJ-0011,مهندس حلول,40
EMP-0347,PRJ-0011,عضو فريق,50
EMP-0378,PRJ-0011,قائد مسار,60
EMP-0409,PRJ-0011,محلل أعمال,20
EMP-0440,PRJ-0011,مهندس حلول,30
EMP-0471,PRJ-0011,عضو فريق,40
EMP-0502,PRJ-0011,قائد مسار,50
EMP-0533,PRJ-0011,محلل أعمال,60
EMP-0564,PRJ-0011,مهندس حلول,20
EMP-0595,PRJ-0011,عضو فريق,30
EMP-0277,PRJ-0012,قائد مسار,20
EMP-0308,PRJ-0012,محلل أعمال,30
EMP-0339,PRJ-0012,مهندس حلول,40
EMP-0370,PRJ-0012,عضو فريق,50
EMP-0401,PRJ-0012,قائد مسار,60
EMP-0432,PRJ-0012,محلل أعمال,20
EMP-0463,PRJ-0012,مهندس حلول,30
EMP-0494,PRJ-0012,عضو فريق,40
EMP-0525,PRJ-0012,قائد مسار,50
EMP-0556,PRJ-0012,محلل أعمال,60
EMP-0587,PRJ-0012,مهندس حلول,20
EMP-0618,PRJ-0012,عضو فريق,30
EMP-0300,PRJ-0013,قائد مسار,20
EMP-0331,PRJ-0013,محلل أعمال,30
EMP-0362,PRJ-0013,مهندس حلول,40
EMP-0393,PRJ-0013,عضو فريق,50
EMP-0424,PRJ-0013,قائد مسار,60
EMP-0455,PRJ-0013,محلل أعمال,20
EMP-0486,PRJ-0013,مهندس حلول,30
EMP-0517,PRJ-0013,عضو فريق,40
EMP-0548,PRJ-0013,قائد مسار,50
EMP-0579,PRJ-0013,محلل أعمال,60
EMP-0610,PRJ-0013,مهندس حلول,20
EMP-0641,PRJ-0013,عضو فريق,30
EMP-0323,PRJ-0014,قائد مسار,20
EMP-0354,PRJ-0014,محلل أعمال,30
EMP-0385,PRJ-0014,مهندس حلول,40
EMP-0416,PRJ-0014,عضو فريق,50
EMP-0447,PRJ-0014,قائد مسار,60
EMP-0478,PRJ-0014,محلل أعمال,20
EMP-0509,PRJ-0014,مهندس حلول,30
EMP-0540,PRJ-0014,عضو فريق,40
EMP-0571,PRJ-0014,قائد مسار,50
EMP-0602,PRJ-0014,محلل أعمال,60
EMP-0633,PRJ-0014,مهندس حلول,20
EMP-0664,PRJ-0014,عضو فريق,30
EMP-0346,PRJ-0015,قائد مسار,20
EMP-0377,PRJ-0015,محلل أعمال,30
EMP-0408,PRJ-0015,مهندس حلول,40
EMP-0439,PRJ-0015,عضو فريق,50
EMP-0470,PRJ-0015,قائد مسار,60
EMP-0501,PRJ-0015,محلل أعمال,20
EMP-0532,PRJ-0015,مهندس حلول,30
EMP-0563,PRJ-0015,عضو فريق,40
EMP-0594,PRJ-0015,قائد مسار,50
EMP-0625,PRJ-0015,محلل أعمال,60
EMP-0656,PRJ-0015,مهندس حلول,20
EMP-0687,PRJ-0015,عضو فريق,30
EMP-0369,PRJ-0016,قائد مسار,20
EMP-0400,PRJ-0016,محلل أعمال,30
EMP-0431,PRJ-0016,مهندس حلول,40
EMP-0462,PRJ-0016,عضو فريق,50
EMP-0493,PRJ-0016,قائد مسار,60
EMP-0524,PRJ-0016,محلل أعمال,20
EMP-0555,PRJ-0016,مهندس حلول,30
EMP-0586,PRJ-0016,عضو فريق,40
EMP-0617,PRJ-0016,قائد مسار,50
EMP-0648,PRJ-0016,محلل أعمال,60
EMP-0679,PRJ-0016,مهندس حلول,20
EMP-0710,PRJ-0016,عضو فريق,30
EMP-0392,PRJ-0017,قائد مسار,20
EMP-0423,PRJ-0017,محلل أعمال,30
EMP-0454,PRJ-0017,مهندس حلول,40
EMP-0485,PRJ-0017,عضو فريق,50
EMP-0516,PRJ-0017,قائد مسار,60
EMP-0547,PRJ-0017,محلل أعمال,20
EMP-0578,PRJ-0017,مهندس حلول,30
EMP-0609,PRJ-0017,عضو فريق,40
EMP-0640,PRJ-0017,قائد مسار,50
EMP-0671,PRJ-0017,محلل أعمال,60
EMP-0702,PRJ-0017,مهندس حلول,20
EMP-0733,PRJ-0017,عضو فريق,30
EMP-0415,PRJ-0018,قائد مسار,20
EMP-0446,PRJ-0018,محلل أعمال,30
EMP-0477,PRJ-0018,مهندس حلول,40
EMP-0508,PRJ-0018,عضو فريق,50
EMP-0539,PRJ-0018,قائد مسار,60
EMP-0570,PRJ-0018,محلل أعمال,20
EMP-0601,PRJ-0018,مهندس حلول,30
EMP-0632,PRJ-0018,عضو فريق,40
EMP-0663,PRJ-0018,قائد مسار,50
EMP-0694,PRJ-0018,محلل أعمال,60
EMP-0725,PRJ-0018,مهندس حلول,20
EMP-0756,PRJ-0018,عضو فريق,30
EMP-0438,PRJ-0019,قائد مسار,20
EMP-0469,PRJ-0019,محلل أعمال,30
EMP-0500,PRJ-0019,مهندس حلول,40
EMP-0531,PRJ-0019,عضو فريق,50
EMP-0562,PRJ-0019,قائد مسار,60
EMP-0593,PRJ-0019,محلل أعمال,20
EMP-0624,PRJ-0019,مهندس حلول,30
EMP-0655,PRJ-0019,عضو فريق,40
EMP-0686,PRJ-0019,قائد مسار,50
EMP-0717,PRJ-0019,محلل أعمال,60
EMP-0748,PRJ-0019,مهندس حلول,20
EMP-0779,PRJ-0019,عضو فريق,30
EMP-0461,PRJ-0020,قائد مسار,20
EMP-0492,PRJ-0020,محلل أعمال,30
EMP-0523,PRJ-0020,مهندس حلول,40
EMP-0554,PRJ-0020,عضو فريق,50
EMP-0585,PRJ-0020,قائد مسار,60
EMP-0616,PRJ-0020,محلل أعمال,20
EMP-0647,PRJ-0020,مهندس حلول,30
EMP-0678,PRJ-0020,عضو فريق,40
EMP-0709,PRJ-0020,قائد مسار,50
EMP-0740,PRJ-0020,محلل أعمال,60
EMP-0771,PRJ-0020,مهندس حلول,20
EMP-0002,PRJ-0020,عضو فريق,30
EMP-0484,PRJ-0021,قائد مسار,20
EMP-0515,PRJ-0021,محلل أعمال,30
EMP-0546,PRJ-0021,مهندس حلول,40
EMP-0577,PRJ-0021,عضو فريق,50
EMP-0608,PRJ-0021,قائد مسار,60
EMP-0639,PRJ-0021,محلل أعمال,20
EMP-0670,PRJ-0021,مهندس حلول,30
EMP-0701,PRJ-0021,عضو فريق,40
EMP-0732,PRJ-0021,قائد مسار,50
EMP-0763,PRJ-0021,محلل أعمال,60
EMP-0794,PRJ-0021,مهندس حلول,20
EMP-0025,PRJ-0021,عضو فريق,30
EMP-0507,PRJ-0022,قائد مسار,20
EMP-0538,PRJ-0022,محلل أعمال,30
EMP-0569,PRJ-0022,مهندس حلول,40
EMP-0600,PRJ-0022,عضو فريق,50
EMP-0631,PRJ-0022,قائد مسار,60
EMP-0662,PRJ-0022,محلل أعمال,20
EMP-0693,PRJ-0022,مهندس حلول,30
EMP-0724,PRJ-0022,عضو فريق,40
EMP-0755,PRJ-0022,قائد مسار,50
EMP-0786,PRJ-0022,محلل أعمال,60
EMP-0017,PRJ-0022,مهندس حلول,20
EMP-0048,PRJ-0022,عضو فريق,30
EMP-0530,PRJ-0023,قائد مسار,20
EMP-0561,PRJ-0023,محلل أعمال,30
EMP-0592,PRJ-0023,مهندس حلول,40
EMP-0623,PRJ-0023,عضو فريق,50
EMP-0654,PRJ-0023,قائد مسار,60
EMP-0685,PRJ-0023,محلل أعمال,20
EMP-0716,PRJ-0023,مهندس حلول,30
EMP-0747,PRJ-0023,عضو فريق,40
EMP-0778,PRJ-0023,قائد مسار,50
EMP-0009,PRJ-0023,محلل أعمال,60
EMP-0040,PRJ-0023,مهندس حلول,20
EMP-0071,PRJ-0023,عضو فريق,30
EMP-0553,PRJ-0024,قائد مسار,20
EMP-0584,PRJ-0024,محلل أعمال,30
EMP-0615,PRJ-0024,مهندس حلول,40
EMP-0646,PRJ-0024,عضو فريق,50
EMP-0677,PRJ-0024,قائد مسار,60
EMP-0708,PRJ-0024,محلل أعمال,20
EMP-0739,PRJ-0024,مهندس حلول,30
EMP-0770,PRJ-0024,عضو فريق,40
EMP-0001,PRJ-0024,قائد مسار,50
EMP-0032,PRJ-0024,محلل أعمال,60
EMP-0063,PRJ-0024,مهندس حلول,20
EMP-0094,PRJ-0024,عضو فريق,30
EMP-0576,PRJ-0025,قائد مسار,20
EMP-0607,PRJ-0025,محلل أعمال,30
EMP-0638,PRJ-0025,مهندس حلول,40
EMP-0669,PRJ-0025,عضو فريق,50
EMP-0700,PRJ-0025,قائد مسار,60
EMP-0731,PRJ-0025,محلل أعمال,20
EMP-0762,PRJ-0025,مهندس حلول,30
EMP-0793,PRJ-0025,عضو فريق,40
EMP-0024,PRJ-0025,قائد مسار,50
EMP-0055,PRJ-0025,محلل أعمال,60
EMP-0086,PRJ-0025,مهندس حلول,20
EMP-0117,PRJ-0025,عضو فريق,30
EMP-0599,PRJ-0026,قائد مسار,20
EMP-0630,PRJ-0026,محلل أعمال,30
EMP-0661,PRJ-0026,مهندس حلول,40
EMP-0692,PRJ-0026,عضو فريق,50
EMP-0723,PRJ-0026,قائد مسار,60
EMP-0754,PRJ-0026,محلل أعمال,20
EMP-0785,PRJ-0026,مهندس حلول,30
EMP-0016,PRJ-0026,عضو فريق,40
EMP-0047,PRJ-0026,قائد مسار,50
EMP-0078,PRJ-0026,محلل أعمال,60
EMP-0109,PRJ-0026,مهندس حلول,20
EMP-0140,PRJ-0026,عضو فريق,30
EMP-0622,PRJ-0027,قائد مسار,20
EMP-0653,PRJ-0027,محلل أعمال,30
EMP-0684,PRJ-0027,مهندس حلول,40
EMP-0715,PRJ-0027,عضو فريق,50
EMP-0746,PRJ-0027,قائد مسار,60
EMP-0777,PRJ-0027,محلل أعمال,20
EMP-0008,PRJ-0027,مهندس حلول,30
EMP-0039,PRJ-0027,عضو فريق,40
EMP-0070,PRJ-0027,قائد مسار,50
EMP-0101,PRJ-0027,محلل أعمال,60
EMP-0132,PRJ-0027,مهندس حلول,20
EMP-0163,PRJ-0027,عضو فريق,30
EMP-0645,PRJ-0028,قائد مسار,20
EMP-0676,PRJ-0028,محلل أعمال,30
EMP-0707,PRJ-0028,مهندس حلول,40
EMP-0738,PRJ-0028,عضو فريق,50
EMP-0769,PRJ-0028,قائد مسار,60
EMP-0800,PRJ-0028,محلل أعمال,20
EMP-0031,PRJ-0028,مهندس حلول,30
EMP-0062,PRJ-0028,عضو فريق,40
EMP-0093,PRJ-0028,قائد مسار,50
EMP-0124,PRJ-0028,محلل أعمال,60
EMP-0155,PRJ-0028,مهندس حلول,20
EMP-0186,PRJ-0028,عضو فريق,30
EMP-0668,PRJ-0029,قائد مسار,20
EMP-0699,PRJ-0029,محلل أعمال,30
EMP-0730,PRJ-0029,مهندس حلول,40
EMP-0761,PRJ-0029,عضو فريق,50
EMP-0792,PRJ-0029,قائد مسار,60
EMP-0023,PRJ-0029,محلل أعمال,20
EMP-0054,PRJ-0029,مهندس حلول,30
EMP-0085,PRJ-0029,عضو فريق,40
EMP-0116,PRJ-0029,قائد مسار,50
EMP-0147,PRJ-0029,محلل أعمال,60
EMP-0178,PRJ-0029,مهندس حلول,20
EMP-0209,PRJ-0029,عضو فريق,30
EMP-0691,PRJ-0030,قائد مسار,20
EMP-0722,PRJ-0030,محلل أعمال,30
EMP-0753,PRJ-0030,مهندس حلول,40
EMP-0784,PRJ-0030,عضو فريق,50
EMP-0015,PRJ-0030,قائد مسار,60
EMP-0046,PRJ-0030,محلل أعمال,20
EMP-0077,PRJ-0030,مهندس حلول,30
EMP-0108,PRJ-0030,عضو فريق,40
EMP-0139,PRJ-0030,قائد مسار,50
EMP-0170,PRJ-0030,محلل أعمال,60
EMP-0201,PRJ-0030,مهندس حلول,20
EMP-0232,PRJ-0030,عضو فريق,30
EMP-0714,PRJ-0031,قائد مسار,20
EMP-0745,PRJ-0031,محلل أعمال,30
EMP-0776,PRJ-0031,مهندس حلول,40
EMP-0007,PRJ-0031,عضو فريق,50
EMP-0038,PRJ-0031,قائد مسار,60
EMP-0069,PRJ-0031,محلل أعمال,20
EMP-0100,PRJ-0031,مهندس حلول,30
EMP-0131,PRJ-0031,عضو فريق,40
EMP-0162,PRJ-0031,قائد مسار,50
EMP-0193,PRJ-0031,محلل أعمال,60
EMP-0224,PRJ-0031,مهندس حلول,20
EMP-0255,PRJ-0031,عضو فريق,30
EMP-0737,PRJ-0032,قائد مسار,20
EMP-0768,PRJ-0032,محلل أعمال,30
EMP-0799,PRJ-0032,مهندس حلول,40
EMP-0030,PRJ-0032,عضو فريق,50
EMP-0061,PRJ-0032,قائد مسار,60
EMP-0092,PRJ-0032,محلل أعمال,20
EMP-0123,PRJ-0032,مهندس حلول,30
EMP-0154,PRJ-0032,عضو فريق,40
EMP-0185,PRJ-0032,قائد مسار,50
EMP-0216,PRJ-0032,محلل أعمال,60
EMP-0247,PRJ-0032,مهندس حلول,20
EMP-0278,PRJ-0032,عضو فريق,30
EMP-0760,PRJ-0033,قائد مسار,20
EMP-0791,PRJ-0033,محلل أعمال,30
EMP-0022,PRJ-0033,مهندس حلول,40
EMP-0053,PRJ-0033,عضو فريق,50
EMP-0084,PRJ-0033,قائد مسار,60
EMP-0115,PRJ-0033,محلل أعمال,20
EMP-0146,PRJ-0033,مهندس حلول,30
EMP-0177,PRJ-0033,عضو فريق,40
EMP-0208,PRJ-0033,قائد مسار,50
EMP-0239,PRJ-0033,محلل أعمال,60
EMP-0270,PRJ-0033,مهندس حلول,20
EMP-0301,PRJ-0033,عضو فريق,30
EMP-0783,PRJ-0034,قائد مسار,20
EMP-0014,PRJ-0034,محلل أعمال,30
EMP-0045,PRJ-0034,مهندس حلول,40
EMP-0076,PRJ-0034,عضو فريق,50
EMP-0107,PRJ-0034,قائد مسار,60
EMP-0138,PRJ-0034,محلل أعمال,20
EMP-0169,PRJ-0034,مهندس حلول,30
EMP-0200,PRJ-0034,عضو فريق,40
EMP-0231,PRJ-0034,قائد مسار,50
EMP-0262,PRJ-0034,محلل أعمال,60
EMP-0293,PRJ-0034,مهندس حلول,20
EMP-0324,PRJ-0034,عضو فريق,30
EMP-0006,PRJ-0035,قائد مسار,20
EMP-0037,PRJ-0035,محلل أعمال,30
EMP-0068,PRJ-0035,مهندس حلول,40
EMP-0099,PRJ-0035,عضو فريق,50
EMP-0130,PRJ-0035,قائد مسار,60
EMP-0161,PRJ-0035,محلل أعمال,20
EMP-0192,PRJ-0035,مهندس حلول,30
EMP-0223,PRJ-0035,عضو فريق,40
EMP-0254,PRJ-0035,قائد مسار,50
EMP-0285,PRJ-0035,محلل أعمال,60
EMP-0316,PRJ-0035,مهندس حلول,20
EMP-0347,PRJ-0035,عضو فريق,30
EMP-0029,PRJ-0036,قائد مسار,20
EMP-0060,PRJ-0036,محلل أعمال,30
EMP-0091,PRJ-0036,مهندس حلول,40
EMP-0122,PRJ-0036,عضو فريق,50
EMP-0153,PRJ-0036,قائد مسار,60
EMP-0184,PRJ-0036,محلل أعمال,20
EMP-0215,PRJ-0036,مهندس حلول,30
EMP-0246,PRJ-0036,عضو فريق,40
EMP-0277,PRJ-0036,قائد مسار,50
EMP-0308,PRJ-0036,محلل أعمال,60
EMP-0339,PRJ-0036,مهندس حلول,20
EMP-0370,PRJ-0036,عضو فريق,30
EMP-0052,PRJ-0037,قائد مسار,20
EMP-0083,PRJ-0037,محلل أعمال,30
EMP-0114,PRJ-0037,مهندس حلول,40
EMP-0145,PRJ-0037,عضو فريق,50
EMP-0176,PRJ-0037,قائد مسار,60
EMP-0207,PRJ-0037,محلل أعمال,20
EMP-0238,PRJ-0037,مهندس حلول,30
EMP-0269,PRJ-0037,عضو فريق,40
EMP-0300,PRJ-0037,قائد مسار,50
EMP-0331,PRJ-0037,محلل أعمال,60
EMP-0362,PRJ-0037,مهندس حلول,20
EMP-0393,PRJ-0037,عضو فريق,30
EMP-0075,PRJ-0038,قائد مسار,20
EMP-0106,PRJ-0038,محلل أعمال,30
EMP-0137,PRJ-0038,مهندس حلول,40
EMP-0168,PRJ-0038,عضو فريق,50
EMP-0199,PRJ-0038,قائد مسار,60
EMP-0230,PRJ-0038,محلل أعمال,20
EMP-0261,PRJ-0038,مهندس حلول,30
EMP-0292,PRJ-0038,عضو فريق,40
EMP-0323,PRJ-0038,قائد مسار,50
EMP-0354,PRJ-0038,محلل أعمال,60
EMP-0385,PRJ-0038,مهندس حلول,20
EMP-0416,PRJ-0038,عضو فريق,30
EMP-0098,PRJ-0039,قائد مسار,20
EMP-0129,PRJ-0039,محلل أعمال,30
EMP-0160,PRJ-0039,مهندس حلول,40
EMP-0191,PRJ-0039,عضو فريق,50
EMP-0222,PRJ-0039,قائد مسار,60
EMP-0253,PRJ-0039,محلل أعمال,20
EMP-0284,PRJ-0039,مهندس حلول,30
EMP-0315,PRJ-0039,عضو فريق,40
EMP-0346,PRJ-0039,قائد مسار,50
EMP-0377,PRJ-0039,محلل أعمال,60
EMP-0408,PRJ-0039,مهندس حلول,20
EMP-0439,PRJ-0039,عضو فريق,30
EMP-0121,PRJ-0040,قائد مسار,20
EMP-0152,PRJ-0040,محلل أعمال,30
EMP-0183,PRJ-0040,مهندس حلول,40
EMP-0214,PRJ-0040,عضو فريق,50
EMP-0245,PRJ-0040,قائد مسار,60
EMP-0276,PRJ-0040,محلل أعمال,20
EMP-0307,PRJ-0040,مهندس حلول,30
EMP-0338,PRJ-0040,عضو فريق,40
EMP-0369,PRJ-0040,قائد مسار,50
EMP-0400,PRJ-0040,محلل أعمال,60
EMP-0431,PRJ-0040,مهندس حلول,20
EMP-0462,PRJ-0040,عضو فريق,30
EMP-0144,PRJ-0041,قائد مسار,20
EMP-0175,PRJ-0041,محلل أعمال,30
EMP-0206,PRJ-0041,مهندس حلول,40
EMP-0237,PRJ-0041,عضو فريق,50
EMP-0268,PRJ-0041,قائد مسار,60
EMP-0299,PRJ-0041,محلل أعمال,20
EMP-0330,PRJ-0041,مهندس حلول,30
EMP-0361,PRJ-0041,عضو فريق,40
EMP-0392,PRJ-0041,قائد مسار,50
EMP-0423,PRJ-0041,محلل أعمال,60
EMP-0454,PRJ-0041,مهندس حلول,20
EMP-0485,PRJ-0041,عضو فريق,30
EMP-0167,PRJ-0042,قائد مسار,20
EMP-0198,PRJ-0042,محلل أعمال,30
EMP-0229,PRJ-0042,مهندس حلول,40
EMP-0260,PRJ-0042,عضو فريق,50
EMP-0291,PRJ-0042,قائد مسار,60
EMP-0322,PRJ-0042,محلل أعمال,20
EMP-0353,PRJ-0042,مهندس حلول,30
EMP-0384,PRJ-0042,عضو فريق,40
EMP-0415,PRJ-0042,قائد مسار,50
EMP-0446,PRJ-0042,محلل أعمال,60
EMP-0477,PRJ-0042,مهندس حلول,20
EMP-0508,PRJ-0042,عضو فريق,30
EMP-0190,PRJ-0043,قائد مسار,20
EMP-0221,PRJ-0043,محلل أعمال,30
EMP-0252,PRJ-0043,مهندس حلول,40
EMP-0283,PRJ-0043,عضو فريق,50
EMP-0314,PRJ-0043,قائد مسار,60
EMP-0345,PRJ-0043,محلل أعمال,20
EMP-0376,PRJ-0043,مهندس حلول,30
EMP-0407,PRJ-0043,عضو فريق,40
EMP-0438,PRJ-0043,قائد مسار,50
EMP-0469,PRJ-0043,محلل أعمال,60
EMP-0500,PRJ-0043,مهندس حلول,20
EMP-0531,PRJ-0043,عضو فريق,30
EMP-0213,PRJ-0044,قائد مسار,20
EMP-0244,PRJ-0044,محلل أعمال,30
EMP-0275,PRJ-0044,مهندس حلول,40
EMP-0306,PRJ-0044,عضو فريق,50
EMP-0337,PRJ-0044,قائد مسار,60
EMP-0368,PRJ-0044,محلل أعمال,20
EMP-0399,PRJ-0044,مهندس حلول,30
EMP-0430,PRJ-0044,عضو فريق,40
EMP-0461,PRJ-0044,قائد مسار,50
EMP-0492,PRJ-0044,محلل أعمال,60
EMP-0523,PRJ-0044,مهندس حلول,20
EMP-0554,PRJ-0044,عضو فريق,30
EMP-0236,PRJ-0045,قائد مسار,20
EMP-0267,PRJ-0045,محلل أعمال,30
EMP-0298,PRJ-0045,مهندس حلول,40
EMP-0329,PRJ-0045,عضو فريق,50
EMP-0360,PRJ-0045,قائد مسار,60
EMP-0391,PRJ-0045,محلل أعمال,20
EMP-0422,PRJ-0045,مهندس حلول,30
EMP-0453,PRJ-0045,عضو فريق,40
EMP-0484,PRJ-0045,قائد مسار,50
EMP-0515,PRJ-0045,محلل أعمال,60
EMP-0546,PRJ-0045,مهندس حلول,20
EMP-0577,PRJ-0045,عضو فريق,30
EMP-0259,PRJ-0046,قائد مسار,20
EMP-0290,PRJ-0046,محلل أعمال,30
EMP-0321,PRJ-0046,مهندس حلول,40
EMP-0352,PRJ-0046,عضو فريق,50
EMP-0383,PRJ-0046,قائد مسار,60
EMP-0414,PRJ-0046,محلل أعمال,20
EMP-0445,PRJ-0046,مهندس حلول,30
EMP-0476,PRJ-0046,عضو فريق,40
EMP-0507,PRJ-0046,قائد مسار,50
EMP-0538,PRJ-0046,محلل أعمال,60
EMP-0569,PRJ-0046,مهندس حلول,20
EMP-0600,PRJ-0046,عضو فريق,30
EMP-0282,PRJ-0047,قائد مسار,20
EMP-0313,PRJ-0047,محلل أعمال,30
EMP-0344,PRJ-0047,مهندس حلول,40
EMP-0375,PRJ-0047,عضو فريق,50
EMP-0406,PRJ-0047,قائد مسار,60
EMP-0437,PRJ-0047,محلل أعمال,20
EMP-0468,PRJ-0047,مهندس حلول,30
EMP-0499,PRJ-0047,عضو فريق,40
EMP-0530,PRJ-0047,قائد مسار,50
EMP-0561,PRJ-0047,محلل أعمال,60
EMP-0592,PRJ-0047,مهندس حلول,20
EMP-0623,PRJ-0047,عضو فريق,30
EMP-0305,PRJ-0048,قائد مسار,20
EMP-0336,PRJ-0048,محلل أعمال,30
EMP-0367,PRJ-0048,مهندس حلول,40
EMP-0398,PRJ-0048,عضو فريق,50
EMP-0429,PRJ-0048,قائد مسار,60
