lsoa_code,lsoa_name,population,reference_year,source
E01016427,,1700,2024,Office for National Statistics
E01016428,,1914,2024,Office for National Statistics
E01016429,,1618,2024,Office for National Statistics
E01016430,,1433,2024,Office for National Statistics
E01016431,,1697,2024,Office for National Statistics
E01016432,,1535,2024,Office for National Statistics
E01016433,,1489,2024,Office for National Statistics
E01016434,,2125,2024,Office for National Statistics
E01016435,,1527,2024,Office for National Statistics
E01016436,,1583,2024,Office for National Statistics
E01016437,,1440,2024,Office for National Statistics
E01016438,,1389,2024,Office for National Statistics
E01016439,,2101,2024,Office for National Statistics
E01016440,,1525,2024,Office for National Statistics
E01016441,,1534,2024,Office for National Statistics
E01016443,,1686,2024,Office for National Statistics
E01016444,,1735,2024,Office for National Statistics
E01016445,,1923,2024,Office for National Statistics
E01016446,,1865,2024,Office for National Statistics
E01016447,,2054,2024,Office for National Statistics
E01016448,,2593,2024,Office for National Statistics
E01016449,,2505,2024,Office for National Statistics
E01016450,,1628,2024,Office for National Statistics
E01016451,,1844,2024,Office for National Statistics
E01016452,,2035,2024,Office for National Statistics
E01016453,,1732,2024,Office for National Statistics
E01016454,,1730,2024,Office for National Statistics
E01016455,,2159,2024,Office for National Statistics
E01016456,,2244,2024,Office for National Statistics
E01016457,,2164,2024,Office for National Statistics
E01016458,,1850,2024,Office for National Statistics
E01016460,,2176,2024,Office for National Statistics
E01016462,,2713,2024,Office for National Statistics
E01016463,,2100,2024,Office for National Statistics
E01016464,,2351,2024,Office for National Statistics
E01016465,,3293,2024,Office for National Statistics
E01016467,,1576,2024,Office for National Statistics
E01016468,,1987,2024,Office for National Statistics
E01016469,,2012,2024,Office for National Statistics
E01016470,,1878,2024,Office for National Statistics
E01016471,,1593,2024,Office for National Statistics
E01016472,,1737,2024,Office for National Statistics
E01016473,,2874,2024,Office for National Statistics
E01016474,,2199,2024,Office for National Statistics
E01016475,,2523,2024,Office for National Statistics
E01016476,,1841,2024,Office for National Statistics
E01016477,,3018,2024,Office for National Statistics
E01016478,,1936,2024,Office for National Statistics
E01016479,,1751,2024,Office for National Statistics
E01016480,,1570,2024,Office for National Statistics
E01016481,,1530,2024,Office for National Statistics
E01016482,,2134,2024,Office for National Statistics
E01016483,,2294,2024,Office for National Statistics
E01016484,,1896,2024,Office for National Statistics
E01016485,,1957,2024,Office for National Statistics
E01016486,,1783,2024,Office for National Statistics
E01016487,,1837,2024,Office for National Statistics
E01016488,,2010,2024,Office for National Statistics
E01016490,,2209,2024,Office for National Statistics
E01016491,,1872,2024,Office for National Statistics
E01016492,,1900,2024,Office for National Statistics
E01016493,,1261,2024,Office for National Statistics
E01016494,,2028,2024,Office for National Statistics
E01016495,,1559,2024,Office for National Statistics
E01016496,,1380,2024,Office for National Statistics
E01016497,,1377,2024,Office for National Statistics
E01016498,,1685,2024,Office for National Statistics
E01016499,,1458,2024,Office for National Statistics
E01016500,,1904,2024,Office for National Statistics
E01016501,,1829,2024,Office for National Statistics
E01016502,,1646,2024,Office for National Statistics
E01016503,,1742,2024,Office for National Statistics
E01016504,,1631,2024,Office for National Statistics
E01016505,,1893,2024,Office for National Statistics
E01016506,,1881,2024,Office for National Statistics
E01016507,,1938,2024,Office for National Statistics
E01016508,,2359,2024,Office for National Statistics
E01016509,,1765,2024,Office for National Statistics
E01016510,,2213,2024,Office for National Statistics
E01016511,,2855,2024,Office for National Statistics
E01016514,,2220,2024,Office for National Statistics
E01016515,,2132,2024,Office for National Statistics
E01016516,,2154,2024,Office for National Statistics
E01016517,,1804,2024,Office for National Statistics
E01016518,,2047,2024,Office for National Statistics
E01016519,,3175,2024,Office for National Statistics
E01016520,,1833,2024,Office for National Statistics
E01016521,,2163,2024,Office for National Statistics
E01016522,,1887,2024,Office for National Statistics
E01016523,,1623,2024,Office for National Statistics
E01016524,,2157,2024,Office for National Statistics
E01016525,,1902,2024,Office for National Statistics
E01016526,,1914,2024,Office for National Statistics
E01016527,,1647,2024,Office for National Statistics
E01016528,,1784,2024,Office for National Statistics
E01016529,,2397,2024,Office for National Statistics
E01016530,,1639,2024,Office for National Statistics
E01016531,,1492,2024,Office for National Statistics
E01016532,,1940,2024,Office for National Statistics
E01016533,,1946,2024,Office for National Statistics
E01016534,,1626,2024,Office for National Statistics
E01016535,,1400,2024,Office for National Statistics
E01016536,,2039,2024,Office for National Statistics
E01016537,,1988,2024,Office for National Statistics
E01016538,,1615,2024,Office for National Statistics
E01016539,,1628,2024,Office for National Statistics
E01016540,,1653,2024,Office for National Statistics
E01016541,,1386,2024,Office for National Statistics
E01016542,,1262,2024,Office for National Statistics
E01016543,,1961,2024,Office for National Statistics
E01016544,,2231,2024,Office for National Statistics
E01016545,,2280,2024,Office for National Statistics
E01016546,,1647,2024,Office for National Statistics
E01016547,,1751,2024,Office for National Statistics
E01016548,,1962,2024,Office for National Statistics
E01016549,,2047,2024,Office for National Statistics
E01016550,,1481,2024,Office for National Statistics
E01016551,,1629,2024,Office for National Statistics
E01016552,,1760,2024,Office for National Statistics
E01016553,,1561,2024,Office for National Statistics
E01016554,,1843,2024,Office for National Statistics
E01016555,,1674,2024,Office for National Statistics
E01016556,,1911,2024,Office for National Statistics
E01016557,,1985,2024,Office for National Statistics
E01016558,,1498,2024,Office for National Statistics
E01016559,,1492,2024,Office for National Statistics
E01016560,,1632,2024,Office for National Statistics
E01016561,,1830,2024,Office for National Statistics
E01016562,,1408,2024,Office for National Statistics
E01016563,,1353,2024,Office for National Statistics
E01016564,,1788,2024,Office for National Statistics
E01016565,,1755,2024,Office for National Statistics
E01016566,,1819,2024,Office for National Statistics
E01016567,,3246,2024,Office for National Statistics
E01016568,,1299,2024,Office for National Statistics
E01016569,,1126,2024,Office for National Statistics
E01016570,,1642,2024,Office for National Statistics
E01016571,,1930,2024,Office for National Statistics
E01016572,,1287,2024,Office for National Statistics
E01016573,,1556,2024,Office for National Statistics
E01016574,,1806,2024,Office for National Statistics
E01016575,,1913,2024,Office for National Statistics
E01016576,,1898,2024,Office for National Statistics
E01016577,,1845,2024,Office for National Statistics
E01016578,,1804,2024,Office for National Statistics
E01016579,,1850,2024,Office for National Statistics
E01016580,,1596,2024,Office for National Statistics
E01016581,,1470,2024,Office for National Statistics
E01016582,,1666,2024,Office for National Statistics
E01016583,,1972,2024,Office for National Statistics
E01016584,,2404,2024,Office for National Statistics
E01016585,,1707,2024,Office for National Statistics
E01016586,,1337,2024,Office for National Statistics
E01016587,,1780,2024,Office for National Statistics
E01016588,,1827,2024,Office for National Statistics
E01016589,,1690,2024,Office for National Statistics
E01016591,,2602,2024,Office for National Statistics
E01016592,,2176,2024,Office for National Statistics
E01016593,,1863,2024,Office for National Statistics
E01016594,,2083,2024,Office for National Statistics
E01016595,,1935,2024,Office for National Statistics
E01016596,,1921,2024,Office for National Statistics
E01016597,,1733,2024,Office for National Statistics
E01016598,,1454,2024,Office for National Statistics
E01016599,,1701,2024,Office for National Statistics
E01016600,,1143,2024,Office for National Statistics
E01016601,,1690,2024,Office for National Statistics
E01016602,,1608,2024,Office for National Statistics
E01016603,,1811,2024,Office for National Statistics
E01016604,,2201,2024,Office for National Statistics
E01016605,,1697,2024,Office for National Statistics
E01016606,,1813,2024,Office for National Statistics
E01016607,,2016,2024,Office for National Statistics
E01016608,,2018,2024,Office for National Statistics
E01016609,,1915,2024,Office for National Statistics
E01016611,,2972,2024,Office for National Statistics
E01016612,,2740,2024,Office for National Statistics
E01016613,,1542,2024,Office for National Statistics
E01016614,,1645,2024,Office for National Statistics
E01016615,,1569,2024,Office for National Statistics
E01016616,,1706,2024,Office for National Statistics
E01016617,,2163,2024,Office for National Statistics
E01016618,,1449,2024,Office for National Statistics
E01016619,,1676,2024,Office for National Statistics
E01016620,,1480,2024,Office for National Statistics
E01016621,,1568,2024,Office for National Statistics
E01016622,,1148,2024,Office for National Statistics
E01016623,,1516,2024,Office for National Statistics
E01016624,,1374,2024,Office for National Statistics
E01016625,,1731,2024,Office for National Statistics
E01016626,,2309,2024,Office for National Statistics
E01016627,,2125,2024,Office for National Statistics
E01016628,,3563,2024,Office for National Statistics
E01016629,,1406,2024,Office for National Statistics
E01016630,,1523,2024,Office for National Statistics
E01016631,,1353,2024,Office for National Statistics
E01016632,,1908,2024,Office for National Statistics
E01016633,,1344,2024,Office for National Statistics
E01016634,,2210,2024,Office for National Statistics
E01016635,,1411,2024,Office for National Statistics
E01016636,,1475,2024,Office for National Statistics
E01016637,,1077,2024,Office for National Statistics
E01016638,,1317,2024,Office for National Statistics
E01016639,,1548,2024,Office for National Statistics
E01016640,,1560,2024,Office for National Statistics
E01016643,,1324,2024,Office for National Statistics
E01016644,,1477,2024,Office for National Statistics
E01016645,,1520,2024,Office for National Statistics
E01016646,,1589,2024,Office for National Statistics
E01016647,,1840,2024,Office for National Statistics
E01016648,,1438,2024,Office for National Statistics
E01016649,,1436,2024,Office for National Statistics
E01016651,,1432,2024,Office for National Statistics
E01016652,,1230,2024,Office for National Statistics
E01016653,,1364,2024,Office for National Statistics
E01016654,,1272,2024,Office for National Statistics
E01016655,,1252,2024,Office for National Statistics
E01016656,,1449,2024,Office for National Statistics
E01016657,,1385,2024,Office for National Statistics
E01016658,,2963,2024,Office for National Statistics
E01016659,,1430,2024,Office for National Statistics
E01016660,,1717,2024,Office for National Statistics
E01016661,,1344,2024,Office for National Statistics
E01016662,,1801,2024,Office for National Statistics
E01016663,,1668,2024,Office for National Statistics
E01016664,,1370,2024,Office for National Statistics
E01016665,,1535,2024,Office for National Statistics
E01016666,,1398,2024,Office for National Statistics
E01016668,,1717,2024,Office for National Statistics
E01016669,,1998,2024,Office for National Statistics
E01016670,,2977,2024,Office for National Statistics
E01016671,,2120,2024,Office for National Statistics
E01016672,,2977,2024,Office for National Statistics
E01016673,,1797,2024,Office for National Statistics
E01016674,,2545,2024,Office for National Statistics
E01016676,,1561,2024,Office for National Statistics
E01016678,,1506,2024,Office for National Statistics
E01016679,,2338,2024,Office for National Statistics
E01016680,,1428,2024,Office for National Statistics
E01016684,,1646,2024,Office for National Statistics
E01016685,,1599,2024,Office for National Statistics
E01016686,,1110,2024,Office for National Statistics
E01016687,,1289,2024,Office for National Statistics
E01016688,,2224,2024,Office for National Statistics
E01016689,,1346,2024,Office for National Statistics
E01016690,,2288,2024,Office for National Statistics
E01016691,,1425,2024,Office for National Statistics
E01016692,,1566,2024,Office for National Statistics
E01016693,,1333,2024,Office for National Statistics
E01016694,,1577,2024,Office for National Statistics
E01016695,,1562,2024,Office for National Statistics
E01016696,,2018,2024,Office for National Statistics
E01016699,,1738,2024,Office for National Statistics
E01016700,,1976,2024,Office for National Statistics
E01016701,,1996,2024,Office for National Statistics
E01016702,,1982,2024,Office for National Statistics
E01016703,,3049,2024,Office for National Statistics
E01016704,,2491,2024,Office for National Statistics
E01016705,,1739,2024,Office for National Statistics
E01016706,,1701,2024,Office for National Statistics
E01016707,,1822,2024,Office for National Statistics
E01016708,,1694,2024,Office for National Statistics
E01016709,,1719,2024,Office for National Statistics
E01016710,,2106,2024,Office for National Statistics
E01016711,,2976,2024,Office for National Statistics
E01016713,,1824,2024,Office for National Statistics
E01016714,,2483,2024,Office for National Statistics
E01016715,,1740,2024,Office for National Statistics
E01016716,,2731,2024,Office for National Statistics
E01016717,,1676,2024,Office for National Statistics
E01016718,,2039,2024,Office for National Statistics
E01016719,,1420,2024,Office for National Statistics
E01016720,,1583,2024,Office for National Statistics
E01016721,,1911,2024,Office for National Statistics
E01016722,,1539,2024,Office for National Statistics
E01016723,,1566,2024,Office for National Statistics
E01016724,,1827,2024,Office for National Statistics
E01016725,,1685,2024,Office for National Statistics
E01016726,,1892,2024,Office for National Statistics
E01016727,,1884,2024,Office for National Statistics
E01016728,,2104,2024,Office for National Statistics
E01016729,,2455,2024,Office for National Statistics
E01016731,,1558,2024,Office for National Statistics
E01016732,,1380,2024,Office for National Statistics
E01016733,,1828,2024,Office for National Statistics
E01016734,,2338,2024,Office for National Statistics
E01016736,,1463,2024,Office for National Statistics
E01016737,,1701,2024,Office for National Statistics
E01016738,,1998,2024,Office for National Statistics
E01016739,,1537,2024,Office for National Statistics
E01016740,,1511,2024,Office for National Statistics
E01016741,,1518,2024,Office for National Statistics
E01016742,,1867,2024,Office for National Statistics
E01016744,,1751,2024,Office for National Statistics
E01016745,,1656,2024,Office for National Statistics
E01016746,,1810,2024,Office for National Statistics
E01016748,,2081,2024,Office for National Statistics
E01016750,,1576,2024,Office for National Statistics
E01016751,,1585,2024,Office for National Statistics
E01016752,,1672,2024,Office for National Statistics
E01016753,,2249,2024,Office for National Statistics
E01016754,,1676,2024,Office for National Statistics
E01016755,,1838,2024,Office for National Statistics
E01016756,,2167,2024,Office for National Statistics
E01016757,,1510,2024,Office for National Statistics
E01016758,,1636,2024,Office for National Statistics
E01016759,,1871,2024,Office for National Statistics
E01016761,,1774,2024,Office for National Statistics
E01016762,,1349,2024,Office for National Statistics
E01016763,,1290,2024,Office for National Statistics
E01016764,,1413,2024,Office for National Statistics
E01016765,,1593,2024,Office for National Statistics
E01016766,,1370,2024,Office for National Statistics
E01016767,,1275,2024,Office for National Statistics
E01016768,,2799,2024,Office for National Statistics
E01016769,,1308,2024,Office for National Statistics
E01016770,,1501,2024,Office for National Statistics
E01016771,,1419,2024,Office for National Statistics
E01016772,,1420,2024,Office for National Statistics
E01016773,,1934,2024,Office for National Statistics
E01016774,,1781,2024,Office for National Statistics
E01016775,,1739,2024,Office for National Statistics
E01016776,,1483,2024,Office for National Statistics
E01016777,,1625,2024,Office for National Statistics
E01016778,,1629,2024,Office for National Statistics
E01016780,,1852,2024,Office for National Statistics
E01016781,,1345,2024,Office for National Statistics
E01016783,,1979,2024,Office for National Statistics
E01016784,,1817,2024,Office for National Statistics
E01016786,,1519,2024,Office for National Statistics
E01016787,,1752,2024,Office for National Statistics
E01016788,,1571,2024,Office for National Statistics
E01016789,,1236,2024,Office for National Statistics
E01016790,,1443,2024,Office for National Statistics
E01016791,,1420,2024,Office for National Statistics
E01016792,,1246,2024,Office for National Statistics
E01016793,,2140,2024,Office for National Statistics
E01016794,,1710,2024,Office for National Statistics
E01016795,,1529,2024,Office for National Statistics
E01016796,,1730,2024,Office for National Statistics
E01016797,,1768,2024,Office for National Statistics
E01016798,,1964,2024,Office for National Statistics
E01016799,,2387,2024,Office for National Statistics
E01016800,,1996,2024,Office for National Statistics
E01016801,,1336,2024,Office for National Statistics
E01016802,,1444,2024,Office for National Statistics
E01016803,,1395,2024,Office for National Statistics
E01016804,,2009,2024,Office for National Statistics
E01016805,,1289,2024,Office for National Statistics
E01016806,,1982,2024,Office for National Statistics
E01016807,,1860,2024,Office for National Statistics
E01016808,,1411,2024,Office for National Statistics
E01016809,,1363,2024,Office for National Statistics
E01016810,,1501,2024,Office for National Statistics
E01016811,,1515,2024,Office for National Statistics
E01016812,,1553,2024,Office for National Statistics
E01016813,,1388,2024,Office for National Statistics
E01016815,,1289,2024,Office for National Statistics
E01016816,,1587,2024,Office for National Statistics
E01016817,,1494,2024,Office for National Statistics
E01016818,,1827,2024,Office for National Statistics
E01016819,,1329,2024,Office for National Statistics
E01016820,,1936,2024,Office for National Statistics
E01016821,,1580,2024,Office for National Statistics
E01016822,,1826,2024,Office for National Statistics
E01016823,,1709,2024,Office for National Statistics
E01016824,,1578,2024,Office for National Statistics
E01016825,,1459,2024,Office for National Statistics
E01016826,,1317,2024,Office for National Statistics
E01016827,,1679,2024,Office for National Statistics
E01016828,,1667,2024,Office for National Statistics
E01016829,,1609,2024,Office for National Statistics
E01016830,,1215,2024,Office for National Statistics
E01016831,,1506,2024,Office for National Statistics
E01016832,,1267,2024,Office for National Statistics
E01016833,,1235,2024,Office for National Statistics
E01016834,,1674,2024,Office for National Statistics
E01016835,,1834,2024,Office for National Statistics
E01016836,,1756,2024,Office for National Statistics
E01016837,,1890,2024,Office for National Statistics
E01016838,,1633,2024,Office for National Statistics
E01016839,,1935,2024,Office for National Statistics
E01016841,,2613,2024,Office for National Statistics
E01016842,,1550,2024,Office for National Statistics
E01016843,,1690,2024,Office for National Statistics
E01016844,,1716,2024,Office for National Statistics
E01016845,,1811,2024,Office for National Statistics
E01016846,,1703,2024,Office for National Statistics
E01016847,,2233,2024,Office for National Statistics
E01016848,,1660,2024,Office for National Statistics
E01017380,,1319,2024,Office for National Statistics
E01017627,,1828,2024,Office for National Statistics
E01017628,,1847,2024,Office for National Statistics
E01017629,,1657,2024,Office for National Statistics
E01017630,,1567,2024,Office for National Statistics
E01017631,,3509,2024,Office for National Statistics
E01017634,,1745,2024,Office for National Statistics
E01017635,,1548,2024,Office for National Statistics
E01017636,,1610,2024,Office for National Statistics
E01017637,,1375,2024,Office for National Statistics
E01017638,,1285,2024,Office for National Statistics
E01017639,,1474,2024,Office for National Statistics
E01017640,,1639,2024,Office for National Statistics
E01017642,,1240,2024,Office for National Statistics
E01017643,,1412,2024,Office for National Statistics
E01017644,,1497,2024,Office for National Statistics
E01017645,,1487,2024,Office for National Statistics
E01017646,,2364,2024,Office for National Statistics
E01017647,,1530,2024,Office for National Statistics
E01017648,,1668,2024,Office for National Statistics
E01017649,,3265,2024,Office for National Statistics
E01017651,,1561,2024,Office for National Statistics
E01017652,,1870,2024,Office for National Statistics
E01017653,,1475,2024,Office for National Statistics
E01017654,,1748,2024,Office for National Statistics
E01017655,,1836,2024,Office for National Statistics
E01017657,,1579,2024,Office for National Statistics
E01017658,,1663,2024,Office for National Statistics
E01017659,,1780,2024,Office for National Statistics
E01017660,,1703,2024,Office for National Statistics
E01017661,,1686,2024,Office for National Statistics
E01017662,,1480,2024,Office for National Statistics
E01017663,,1754,2024,Office for National Statistics
E01017664,,1375,2024,Office for National Statistics
E01017665,,3188,2024,Office for National Statistics
E01017666,,2497,2024,Office for National Statistics
E01017667,,1613,2024,Office for National Statistics
E01017668,,1641,2024,Office for National Statistics
E01017669,,2846,2024,Office for National Statistics
E01017670,,1904,2024,Office for National Statistics
E01017671,,1627,2024,Office for National Statistics
E01017672,,1658,2024,Office for National Statistics
E01017673,,1393,2024,Office for National Statistics
